20240319 update
番号	定義名	リソース名
413	JT_4_M_CRU_SOLD	4_M_CRU_SOLD
414	JT_4_M_CRU_KNT	4_M_CRU_KNT
415	JT_4_M_CRU_HEAD	4_M_CRU_HEAD
416	JT_4_M_CRU_CRUA	4_M_CRU_CRUA
417	JT_4_M_KY_SOLD	4_M_KY_SOLD
418	JT_4_M_KY_KNT	4_M_KY_KNT
419	JT_4_M_KY_HEAD	4_M_KY_HEAD
420	JT_4_M_KY_KIYOM	4_M_KY_KIYOM
421	JT_4_M_BOSSCAT	4_M_BOSSCAT
422	JT_4_M_BABYCAT	4_M_BABYCAT
423	JT_4W_F_KAFRA2	4W_F_KAFRA2
424	JT_4_F_MUNAK	4_F_MUNAK
425	JT_4_M_BONGUN	4_M_BONGUN
426	JT_4_BEAR	4_BEAR
427	JT_4_BLUEWOLF	4_BLUEWOLF
428	JT_4_PECOPECO	4_PECOPECO
429	JT_4_M_JP_MID	4_M_JP_MID
430	JT_4_M_JP_RUN	4_M_JP_RUN
431	JT_4_ORCLADY	4_ORCLADY
432	JT_4_ORCLADY2	4_ORCLADY2
433	JT_4_ORCWARRIOR	4_ORCWARRIOR
434	JT_4_ORCWARRIOR2	4_ORCWARRIOR2
435	JT_4_F_FAIRY	4_F_FAIRY
436	JT_4_F_FAIRYKID	4_F_FAIRYKID
437	JT_4_F_FAIRYKID2	4_F_FAIRYKID2
438	JT_4_F_FAIRYKID3	4_F_FAIRYKID3
439	JT_4_F_FAIRYKID4	4_F_FAIRYKID4
440	JT_4_F_FAIRYKID5	4_F_FAIRYKID5
441	JT_4_F_FAIRYKID6	4_F_FAIRYKID6
442	JT_4_M_FAIRYKID	4_M_FAIRYKID
443	JT_4_M_FAIRYKID2	4_M_FAIRYKID2
444	JT_4_M_FAIRYKID3	4_M_FAIRYKID3
445	JT_4_M_FAIRYKID4	4_M_FAIRYKID4
446	JT_4_M_FAIRYKID5	4_M_FAIRYKID5
447	JT_4_M_FAIRYSOLDIER	4_M_FAIRYSOLDIER
448	JT_4_M_TUFFOLD	4_M_TUFFOLD
449	JT_4_MAN_BENKUNI	4_MAN_BENKUNI
450	JT_4_MAN_GALTUN	4_MAN_GALTUN
451	JT_4_MAN_JERUTOO	4_MAN_JERUTOO
452	JT_4_MAN_LAVAIL	4_MAN_LAVAIL
453	JT_4_MAN_NITT	4_MAN_NITT
454	JT_4_MAN_PIOM	4_MAN_PIOM
455	JT_4_MAN_PIOM2	4_MAN_PIOM2
456	JT_4_M_DSTMAN	4_M_DSTMAN
457	JT_4_M_DSTMANDEAD	4_M_DSTMANDEAD
458	JT_4_BABYLEOPARD	4_BABYLEOPARD
459	JT_4_M_REDSWORD	4_M_REDSWORD
460	JT_4_MAN_PIOM3	4_MAN_PIOM3
461	JT_4_M_FAIRYSOLDIER2	4_M_FAIRYSOLDIER2
462	JT_4_F_FAIRYSOLDIER	4_F_FAIRYSOLDIER
463	JT_4_DRAGON_EGG	4_DRAGON_EGG
464	JT_4_MIMIC	4_MIMIC
465	JT_4_F_FAIRY1	4_F_FAIRY1
466	JT_4_F_GUILLOTINE	4_F_GUILLOTINE
467	JT_4_M_GUILLOTINE	4_M_GUILLOTINE
468	JT_4_M_KNIGHT_BLACK	4_M_KNIGHT_BLACK
469	JT_4_M_KNIGHT_GOLD	4_M_KNIGHT_GOLD
470	JT_4_M_KNIGHT_SILVER	4_M_KNIGHT_SILVER
471	JT_4_SKULL_MUD	4_SKULL_MUD
472	JT_4_M_BRZ_INDIAN	4_M_BRZ_INDIAN
473	JT_4_F_BRZ_INDIAN	4_F_BRZ_INDIAN
474	JT_4_F_BRZ_INDOLD	4_F_BRZ_INDOLD
475	JT_4_M_BRZ_JACI	4_M_BRZ_JACI
476	JT_4_M_BRZ_MAN1	4_M_BRZ_MAN1
477	JT_4_M_BRZ_MAN2	4_M_BRZ_MAN2
478	JT_4_F_BRZ_WOMAN	4_F_BRZ_WOMAN
479	JT_4_M_MINSTREL	4_M_MINSTREL
480	JT_4_M_MINSTREL1	4_M_MINSTREL1
481	JT_4_M_SHADOWCHASER	4_M_SHADOWCHASER
482	JT_4_F_SHADOWCHASER	4_F_SHADOWCHASER
483	JT_4_M_SURA	4_M_SURA
484	JT_4_F_SURA	4_F_SURA
485	JT_4_F_WANDERER	4_F_WANDERER
486	JT_4_M_BARD	4_M_BARD
487	JT_1_FLAG_NOFEAR	1_FLAG_NOFEAR
488	JT_4_M_NOFEARGUY	4_M_NOFEARGUY
489	JT_4_MAN_PIOM6	4_MAN_PIOM6
490	JT_4_MAN_PIOM4	4_MAN_PIOM4
491	JT_4_MAN_PIOM5	4_MAN_PIOM5
492	JT_4_MAN_GALTUN1	4_MAN_GALTUN1
493	JT_4_HUMAN_GERUTOO	4_HUMAN_GERUTOO
494	JT_4_M_ROKI	4_M_ROKI
495	JT_4_M_MERCAT1	4_M_MERCAT1
496	JT_4_M_MERCAT2	4_M_MERCAT2
497	JT_4_M_CATMAN1	4_M_CATMAN1
498	JT_4_M_CATMAN2	4_M_CATMAN2
499	JT_4_F_BRZ_WOMAN2	4_F_BRZ_WOMAN2
500	JT_4_M_JP_DISH	4_M_JP_DISH
501	JT_4_F_JP_NOAH	4_F_JP_NOAH
502	JT_4_F_JP_OZ	4_F_JP_OZ
503	JT_4_F_JP_CHROME	4_F_JP_CHROME
504	JT_4_F_JP_RINNE	4_F_JP_RINNE
505	JT_4_WHITETIGER	4_WHITETIGER
506	JT_4_VENDING_MACHINE	4_VENDING_MACHINE
507	JT_4_MISTY	4_MISTY
508	JT_4_NECORING	4_NECORING
509	JT_4_ELEPHANT	4_ELEPHANT
510	JT_4_F_NYDHOG	4_F_NYDHOG
511	JT_4_F_NYDHOG2	4_F_NYDHOG2
512	JT_4_M_ROKI2	4_M_ROKI2
513	JT_4_M_DOGTRAVELER	4_M_DOGTRAVELER
514	JT_4_M_DOGTRAVELER2	4_M_DOGTRAVELER2
515	JT_4_F_DOGTRAVELER	4_F_DOGTRAVELER
516	JT_4_M_RAFLE_GR	4_M_RAFLE_GR
517	JT_4_M_RAFLE_OLD	4_M_RAFLE_OLD
518	JT_4_F_RAFLE_PK	4_F_RAFLE_PK
519	JT_4_M_LYINGDOG	4_M_LYINGDOG
520	JT_4_F_MORAFINE1	4_F_MORAFINE1
521	JT_4_F_MORAFINE2	4_F_MORAFINE2
522	JT_4_M_RAFLE_OR	4_M_RAFLE_OR
523	JT_4_F_RAFLE_YE	4_F_RAFLE_YE
524	JT_4_M_RAFLE_VI	4_M_RAFLE_VI
525	JT_4_F_RAFLE_VI	4_F_RAFLE_VI
526	JT_4_M_ARDHA	4_M_ARDHA
527	JT_4_CREEPER	4_CREEPER
528	JT_JP_RUFAKU	JP_RUFAKU
529	JT_JP_SUPIKA	JP_SUPIKA
530	JT_JP_SABIKU	JP_SABIKU
531	JT_JP_ARUGORU	JP_ARUGORU
532	JT_JP_ARUNA	JP_ARUNA
533	JT_JP_AIRI	JP_AIRI
534	JT_4_M_DEWOLDMAN	4_M_DEWOLDMAN
535	JT_4_M_DEWOLDWOMAN	4_M_DEWOLDWOMAN
536	JT_4_M_DEWMAN	4_M_DEWMAN
537	JT_4_M_DEWWOMAN	4_M_DEWWOMAN
538	JT_4_M_DEWBOY	4_M_DEWBOY
539	JT_4_M_DEWGIRL	4_M_DEWGIRL
540	JT_4_M_DEWZATICHIEF	4_M_DEWZATICHIEF
541	JT_4_M_DEWZATIMAN	4_M_DEWZATIMAN
542	JT_4_M_ALCHE_E	4_M_ALCHE_E
543	JT_4_MASK_SMOKEY	4_MASK_SMOKEY
544	JT_4_CAT_SAILOR1	4_CAT_SAILOR1
545	JT_4_CAT_SAILOR2	4_CAT_SAILOR2
546	JT_4_CAT_SAILOR3	4_CAT_SAILOR3
547	JT_4_CAT_SAILOR4	4_CAT_SAILOR4
548	JT_4_CAT_CHEF	4_CAT_CHEF
549	JT_4_CAT_MERMASTER	4_CAT_MERMASTER
550	JT_4_CRACK	4_CRACK
551	JT_4_ASTER	4_ASTER
552	JT_4_F_STARFISHGIRL	4_F_STARFISHGIRL
553	JT_4_CAT_DOWN	4_CAT_DOWN
554	JT_4_CAT_REST	4_CAT_REST
555	JT_4_CAT_3COLOR	4_CAT_3COLOR
556	JT_4_CAT_ADMIRAL	4_CAT_ADMIRAL
557	JT_4_SOIL	4_SOIL
558	JT_4_F_ALCHE_A	4_F_ALCHE_A
559	JT_4_CAT_ADV1	4_CAT_ADV1
560	JT_4_CAT_ADV2	4_CAT_ADV2
561	JT_4_CAT_SAILOR5	4_CAT_SAILOR5
562	JT_2_DROP_MACHINE	2_DROP_MACHINE
563	JT_2_SLOT_MACHINE	2_SLOT_MACHINE
564	JT_2_VENDING_MACHINE1	2_VENDING_MACHINE1
565	JT_MOB_TOMB	MOB_TOMB
566	JT_4_MYSTCASE	MYSTCASE
567	JT_4_M_SIT_NOVICE	4_M_SIT_NOVICE
568	JT_4_OCTOPUS_LEG	4_OCTOPUS_LEG
569	JT_4_F_NURSE	4_F_NURSE
570	JT_4_MAL_SOLDIER	4_MAL_SOLDIER
571	JT_4_MAL_CAPTAIN	4_MAL_CAPTAIN
572	JT_4_MAL_BUDIDAI	4_MAL_BUDIDAI
573	JT_4_M_MAYOR	4_M_MAYOR
574	JT_4_M_BARYO_OLD	4_M_BARYO_OLD
575	JT_4_F_BARYO_OLD	4_F_BARYO_OLD
576	JT_4_F_BARYO_GIRL	4_F_BARYO_GIRL
577	JT_4_M_BARYO_BOY	4_M_BARYO_BOY
578	JT_4_M_BARYO_MAN	4_M_BARYO_MAN
579	JT_4_F_BARYO_WOMAN	4_F_BARYO_WOMAN
580	JT_4_BARYO_CHIEF	4_BARYO_CHIEF
581	JT_4_MAL_KAFRA	4_MAL_KAFRA
582	JT_4_M_MALAYA	4_M_MALAYA
583	JT_4_F_MALAYA	4_F_MALAYA
584	JT_4_F_PATIENT	4_F_PATIENT
585	JT_4_M_PATIENT	4_M_PATIENT
586	JT_4_F_KR_TIGER	4_F_KR_TIGER
587	JT_4_M_KR_BOY	4_M_KR_BOY
588	JT_4_M_KAGE_OLD	4_M_KAGE_OLD
589	JT_4_WHIKEBAIN	4_WHIKEBAIN
590	JT_4_EREND	4_EREND
591	JT_4_RAWREL	4_RAWREL
592	JT_4_ARMAIA	4_ARMAIA
593	JT_4_KAVAC	4_KAVAC
594	JT_4_YGNIZEM	4_YGNIZEM
595	JT_4_EREMES	4_EREMES
596	JT_4_MAGALETA	4_MAGALETA
597	JT_4_KATRINN	4_KATRINN
598	JT_4_SHECIL	4_SHECIL
599	JT_4_SEYREN	4_SEYREN
600	JT_4_HARWORD	4_HARWORD
601	JT_4_F_JP_CYNTHIA	4_F_JP_CYNTHIA
602	JT_4_M_JP_GUSTON	4_M_JP_GUSTON
603	JT_4_M_JP_BERKUT	4_M_JP_BERKUT
604	JT_4_F_JP_DARK_ADELAIDE	4_F_JP_DARK_ADELAIDE
605	JT_4_M_JP_DARK_DARIUS	4_M_JP_DARK_DARIUS
606	JT_4_M_JP_JESTER	4_M_JP_JESTER
607	JT_XMAS_SMOKEY_B	XMAS_SMOKEY_B
608	JT_XMAS_SMOKEY_R	XMAS_SMOKEY_R
609	JT_XMAS_SMOKEY_Y	XMAS_SMOKEY_Y
610	JT_4_F_CLOCKDOLL	4_f_clockdoll
611	JT_4_F_FAIRY2	4_f_fairy2
612	JT_4_F_PINKWOMAN	4_f_pinkwoman
613	JT_4_FAIRYDEADLEAF	4_fairydeadleaf
614	JT_4_FROG	4_frog
615	JT_4_M_BLACKMAN	4_m_blackman
616	JT_4_M_BLUEMAN	4_m_blueman
617	JT_4_M_FAIRYANG	4_m_fairyang
618	JT_4_M_FAIRYAVANT	4_m_fairyavant
619	JT_4_M_FAIRYFREAK	4_m_fairyfreak
620	JT_4_M_FAIRYKID6	4_m_fairykid6
621	JT_4_M_FAIRYSCHOLAR	4_m_fairyscholar
622	JT_4_M_FAIRYSCHOLAR_DIRTY	4_m_fairyscholar_dirty
623	JT_4_M_FARIY_HISIE	4_m_fariy_hisie
624	JT_4_M_FARIYKING	4_m_fariyking
625	JT_4_M_NEWOZ	4_m_newoz
626	JT_4_M_OLIVER	4_m_oliver
627	JT_4_M_PROFESSORWORM	4_m_professorworm
628	JT_4_M_REDMAN	4_m_redman
629	JT_4_F_GELKA	4_F_GELKA
630	JT_4_M_ROTERT	4_M_ROTERT
631	JT_4_BLACKDRAGON	4_BLACKDRAGON
632	JT_4_M_GUNSLINGER	4_M_GUNSLINGER
633	JT_4_F_GUNSLINGER	4_F_GUNSLINGER
634	JT_4_M_ARCHER	4_M_ARCHER
635	JT_4_M_SWORDMAN	4_M_SWORDMAN
636	JT_4_M_NINJA_RED	4_M_NINJA_RED
637	JT_4_M_NINJA_BLUE	4_M_NINJA_BLUE
638	JT_4_M_THIEF_RUMIN	4_M_THIEF_RUMIN
639	JT_4_M_NOV_RUMIN	4_M_NOV_RUMIN
640	JT_4_F_MAYSEL	4_F_MAYSEL
641	JT_4_F_ACOLYTE	4_F_ACOLYTE
642	JT_4_M_NOV_HUNT	4_M_NOV_HUNT
643	JT_4_F_GENETIC	4_F_GENETIC
644	JT_4_F_TAEKWON	4_F_TAEKWON
645	JT_4_F_SWORDMAN	4_F_SWORDMAN
646	JT_4_F_IU	4_F_IU
647	JT_4_M_RAGI	4_M_RAGI
648	JT_4_M_MELODY	4_M_MELODY
649	JT_4_TRACE	4_TRACE
650	JT_4_F_HIMEL	4_F_HIMEL
651	JT_4_LEVITATEMAN	4_LEVITATEMAN
652	JT_4_M_HEINRICH	4_M_HEINRICH
653	JT_4_M_ROYALGUARD	4_M_ROYALGUARD
654	JT_4_M_BARMUND	4_M_BARMUND
655	JT_4_F_KHALITZBURG	4_F_KHALITZBURG
656	JT_4_F_HIMEL2	4_F_HIMEL2
657	JT_4_WHITEKNIGHT	4_WHITEKNIGHT
658	JT_4_COCO	4_coco
659	JT_4_M_ALADDIN	4_m_aladdin
660	JT_4_M_GENIE	4_m_genie
661	JT_4_F_GENIE	4_f_genie
662	JT_4_JP_MID_SWIM	4_jp_mid_swim
663	JT_4_JP_RUNE_SWIM	4_jp_rune_swim
664	JT_4_F_FENRIR	4_f_fenrir
665	JT_4_F_GEFFEN_FAY	4_f_geffen_fay
666	JT_4_F_IRIS	4_f_iris
667	JT_4_F_LUCILE	4_f_lucile
668	JT_4_F_SARAH_BABY	4_f_sarah_baby
669	JT_4_GEFFEN_01	4_geffen_01
670	JT_4_GEFFEN_02	4_geffen_02
671	JT_4_GEFFEN_03	4_geffen_03
672	JT_4_GEFFEN_04	4_geffen_04
673	JT_4_GEFFEN_05	4_geffen_05
674	JT_4_GEFFEN_06	4_geffen_06
675	JT_4_GEFFEN_07	4_geffen_07
676	JT_4_GEFFEN_08	4_geffen_08
677	JT_4_GEFFEN_09	4_geffen_09
678	JT_4_GEFFEN_10	4_geffen_10
679	JT_4_GEFFEN_11	4_geffen_11
680	JT_4_GEFFEN_12	4_geffen_12
681	JT_4_GEFFEN_13	4_geffen_13
682	JT_4_GEFFEN_14	4_geffen_14
683	JT_4_M_CHAOS	4_m_chaos
684	JT_4_M_CHIEF_IRIN	4_m_chief_irin
685	JT_4_M_SAKRAY	4_m_sakray
686	JT_4_M_SAKRAYROYAL	4_m_sakrayroyal
687	JT_4_TOWER_01	4_tower_01
688	JT_4_TOWER_02	4_tower_02
689	JT_4_TOWER_03	4_tower_03
690	JT_4_TOWER_04	4_tower_04
691	JT_4_TOWER_05	4_tower_05
692	JT_4_TOWER_06	4_tower_06
693	JT_4_TOWER_07	4_tower_07
694	JT_4_TOWER_08	4_tower_08
695	JT_4_TOWER_09	4_tower_09
696	JT_4_TOWER_10	4_tower_10
697	JT_4_TOWER_11	4_tower_11
698	JT_4_TOWER_12	4_tower_12
699	JT_4_TOWER_13	4_tower_13
700	JT_8_F_GIRL	8_F_GIRL
701	JT_4_F_GODEMOM	4_F_GODEMOM
702	JT_4_F_GON	4_F_GON
703	JT_4_F_KID2	4_F_KID2
704	JT_4_M_BIBI	4_M_BIBI
705	JT_4_M_GEF_SOLDIER	4_M_GEF_SOLDIER
706	JT_4_M_KID1	4_M_KID1
707	JT_4_M_MOC_SOLDIER	4_M_MOC_SOLDIER
708	JT_4_M_PAY_SOLDIER	4_M_PAY_SOLDIER
709	JT_4_M_SEAMAN	4_M_SEAMAN
710	JT_4_M_SNOWMAN	4_M_SNOWMAN
711	JT_4_F_05	4_F_05
712	JT_4_M_05	4_M_05
713	JT_4_M_06	4_M_06
714	JT_4_F_06	4_F_06
715	JT_4_M_PIERROT	4_M_PIERROT
716	JT_4_M_KID2	4_M_KID2
717	JT_4_F_KID3	4_F_KID3
718	JT_4_M_SANTA	4_M_SANTA
719	JT_4_F_NACORURI	4_F_NACORURI
720	JT_4_F_SHAMAN	4_F_SHAMAN
721	JT_4_F_KAFRA7	4_F_KAFRA7
722	JT_GUILD_FLAG	Guildflag90_1.gr2
723	JT_1_SHADOW_NPC	1_SHADOW_NPC
724	JT_4_F_07	4_F_07
725	JT_4_F_JOB_ASSASSIN	4_F_JOB_ASSASSIN
726	JT_4_F_JOB_BLACKSMITH	4_F_JOB_BLACKSMITH
727	JT_4_F_JOB_HUNTER	4_F_JOB_HUNTER
728	JT_4_F_JOB_KNIGHT	4_F_JOB_KNIGHT
729	JT_4_F_NOVICE	4_F_NOVICE
730	JT_4_M_JOB_ASSASSIN	4_M_JOB_ASSASSIN
731	JT_4_M_JOB_BLACKSMITH	4_M_JOB_BLACKSMITH
732	JT_4_M_JOB_HUNTER	4_M_JOB_HUNTER
733	JT_4_M_JOB_KNIGHT1	4_M_JOB_KNIGHT1
734	JT_4_M_JOB_KNIGHT2	4_M_JOB_KNIGHT2
735	JT_4_M_JOB_WIZARD	4_M_JOB_WIZARD
736	JT_4_BAPHOMET	4_BAPHOMET
737	JT_4_DARKLORD	4_DARKLORD
738	JT_4_DEVIRUCHI	4_DEVIRUCHI
739	JT_8_DOPPEL	8_DOPPEL
740	JT_2_M_ALCHE	2_M_ALCHE
741	JT_2_M_BARD_ORIENT	2_M_BARD_ORIENT
742	JT_2_M_SAGE_B	2_M_SAGE_B
743	JT_2_M_SAGE_OLD	2_M_SAGE_OLD
744	JT_4_F_ALCHE	4_F_ALCHE
745	JT_4_F_CRU	4_F_CRU
746	JT_4_F_MONK	4_F_MONK
747	JT_4_F_ROGUE	4_F_ROGUE
748	JT_4_M_ALCHE_A	4_M_ALCHE_A
749	JT_4_M_ALCHE_B	4_M_ALCHE_B
750	JT_4_M_ALCHE_C	4_M_ALCHE_C
751	JT_4_M_CRU	4_M_CRU
752	JT_4_M_CRU_OLD	4_M_CRU_OLD
753	JT_4_M_MONK	4_M_MONK
754	JT_4_M_SAGE_A	4_M_SAGE_A
755	JT_4_M_SAGE_C	4_M_SAGE_C
756	JT_4_F_SON	4_F_SON
757	JT_4_F_JPN2	4_F_JPN2
758	JT_4_F_JPN	4_F_JPN
759	JT_4_F_JPNCHIBI	4_F_JPNCHIBI
760	JT_4_F_JPNOBA2	4_F_JPNOBA2
761	JT_4_F_JPNOBA	4_F_JPNOBA
762	JT_4_M_JPN2	4_M_JPN2
763	JT_4_M_JPN	4_M_JPN
764	JT_4_M_JPNCHIBI	4_M_JPNCHIBI
765	JT_4_M_JPNOJI2	4_M_JPNOJI2
766	JT_4_M_JPNOJI	4_M_JPNOJI
767	JT_8_M_JPNSOLDIER	8_M_JPNSOLDIER
768	JT_8_M_JPNMASTER	8_M_JPNMASTER
769	JT_4_F_JPNMU	4_F_JPNMU
770	JT_4_F_TWGIRL	4_F_TWGIRL
771	JT_4_F_TWGRANDMOM	4_F_TWGRANDMOM
772	JT_4_F_TWMASKGIRL	4_F_TWMASKGIRL
773	JT_4_F_TWMIDWOMAN	4_F_TWMIDWOMAN
774	JT_4_M_TWBOY	4_M_TWBOY
775	JT_4_M_TWMASKMAN	4_M_TWMASKMAN
776	JT_4_M_TWMIDMAN	4_M_TWMIDMAN
777	JT_4_M_TWOLDMAN	4_M_TWOLDMAN
778	JT_4_M_TWTEAMAN	4_M_TWTEAMAN
779	JT_4_M_YOYOROGUE	4_M_YOYOROGUE
780	JT_8_M_TWSOLDIER	8_M_TWSOLDIER
781	JT_4_F_UMGIRL	4_F_UMGIRL
782	JT_4_F_UMOLDWOMAN	4_F_UMOLDWOMAN
783	JT_4_F_UMWOMAN	4_F_UMWOMAN
784	JT_4_M_UMCHIEF	4_M_UMCHIEF
785	JT_4_M_UMDANCEKID2	4_M_UMDANCEKID2
786	JT_4_M_UMDANCEKID	4_M_UMDANCEKID
787	JT_4_M_UMKID	4_M_UMKID
788	JT_4_M_UMOLDMAN	4_M_UMOLDMAN
789	JT_4_M_UMSOLDIER	4_M_UMSOLDIER
790	JT_4_M_SALVATION	4_M_SALVATION
791	JT_4_F_NFDEADKAFRA	4_F_NFDEADKAFRA
792	JT_4_F_NFDEADMGCIAN	4_F_NFDEADMGCIAN
793	JT_4_F_NFLOSTGIRL	4_F_NFLOSTGIRL
794	JT_4_M_NFDEADMAN2	4_M_NFDEADMAN2
795	JT_4_M_NFDEADMAN	4_M_NFDEADMAN
796	JT_4_M_NFDEADSWDMAN	4_M_NFDEADSWDMAN
797	JT_4_M_NFLOSTMAN	4_M_NFLOSTMAN
798	JT_4_M_NFMAN	4_M_NFMAN
799	JT_4_NFBAT	4_NFBAT
800	JT_4_NFCOCK	4_NFCOCK
801	JT_4_NFCOFFIN	4_NFCOFFIN
802	JT_4_NFWISP	4_NFWISP
803	JT_1_F_SIGNZISK	1_F_SIGNZISK
804	JT_1_M_SIGN1	1_M_SIGN1
805	JT_1_M_SIGNALCHE	1_M_SIGNALCHE
806	JT_1_M_SIGNART	1_M_SIGNART
807	JT_1_M_SIGNMCNT	1_M_SIGNMCNT
808	JT_1_M_SIGNMONK2	1_M_SIGNMONK2
809	JT_1_M_SIGNMONK	1_M_SIGNMONK
810	JT_1_M_SIGNROGUE	1_M_SIGNROGUE
811	JT_4_F_VALKYRIE	4_F_VALKYRIE
812	JT_TW_TOWER	TW_TOWER
813	JT_2_M_OLDBLSMITH	2_M_OLDBLSMITH
814	JT_4_F_CHNDOCTOR	4_F_CHNDOCTOR
815	JT_4_F_CHNDRESS1	4_F_CHNDRESS1
816	JT_4_F_CHNDRESS2	4_F_CHNDRESS2
817	JT_4_F_CHNDRESS3	4_F_CHNDRESS3
818	JT_4_F_CHNWOMAN	4_F_CHNWOMAN
819	JT_4_M_CHN8GUEK	4_M_CHN8GUEK
820	JT_4_M_CHNCOOK	4_M_CHNCOOK
821	JT_4_M_CHNGENERL	4_M_CHNGENERL
822	JT_4_M_CHNMAN	4_M_CHNMAN
823	JT_4_M_CHNMONK	4_M_CHNMONK
824	JT_4_M_CHNOLD	4_M_CHNOLD
825	JT_4_M_CHNSOLDIER	4_M_CHNSOLDIER
826	JT_4_M_DWARF	4_M_DWARF
827	JT_4_M_GRANDMONK	4_M_GRANDMONK
