実装済み	区分	//ID	Name	Jname	Type	Price	Sell	Weight	ATK	DEF	Range	Slot	Job	Gender	Loc	wLV	eLV	resorce	View	Refine	{UseScript}	{EquipScript}	{UnEquipScript}			ID	Upper	Zone	Dropable	Sellable	Storageable	GuildStorageable	Cartable	Delay	Cooldown	Buyingable	Nonconsume	DropEffect	"ID,Upper,Zone,Dropable,Sellable,Storageable,GuildStorageable,Cartable,Delay,Cooldown,Buyingable,Nonconsume,DropEffect"	//	条件詳細			
		100113	consum	サラの手紙	2		10	10					2074075135	2			1				"{},{},{}"			"100113,consum,サラの手紙,2,,10,10,,,,,2074075135,2,,,1,,,{},{},{}"		100113	0	0	1	0	0	1	1	0	0	0	1	0	"100113,0,0,1,0,0,1,1,0,0,0,1,0"	//サラの手紙	NPC売却・倉庫への移動のみ・消耗しない			
		100114	consum	イーブルの手紙	2		10	10					2074075135	2			1				"{},{},{}"			"100114,consum,イーブルの手紙,2,,10,10,,,,,2074075135,2,,,1,,,{},{},{}"		100114	0	0	1	0	0	1	1	0	0	0	1	0	"100114,0,0,1,0,0,1,1,0,0,0,1,0"	//イーブルの手紙	NPC売却・倉庫への移動のみ・消耗しない			
		100142	consum	祝福のエッセンス	2		10	10					2074075135	2			1				"{},{},{}"			"100142,consum,祝福のエッセンス,2,,10,10,,,,,2074075135,2,,,1,,,{},{},{}"																	条件なし			
		100158	consum	改良型ギア誘導ビーコン	2		10	300					2074075135	2			1				"{},{},{}"			"100158,consum,改良型ギア誘導ビーコン,2,,10,300,,,,,2074075135,2,,,1,,,{},{},{}"		100158	0	16	0	0	0	0	0	0	0	0	0	0	"100158,0,16,0,0,0,0,0,0,0,0,0,0"	//改良型ギア誘導ビーコン	ターボトラック不可			
		100160	consum	改造オーブの箱	2		10	10					2074075135	2			1				"{},{},{}"			"100160,consum,改造オーブの箱,2,,10,10,,,,,2074075135,2,,,1,,,{},{},{}"																	条件なし			
		100161	consum	高級な改造オーブの箱	2		10	10					2074075135	2			1				"{},{},{}"			"100161,consum,高級な改造オーブの箱,2,,10,10,,,,,2074075135,2,,,1,,,{},{},{}"																	条件なし			
		100162	consum	大罪武器改造装置の箱	2		10	10					2074075135	2			1				"{},{},{}"			"100162,consum,大罪武器改造装置の箱,2,,10,10,,,,,2074075135,2,,,1,,,{},{},{}"																	条件なし			
		100163	consum	高級な大罪武器改造装置の箱	2		10	10					2074075135	2			1				"{},{},{}"			"100163,consum,高級な大罪武器改造装置の箱,2,,10,10,,,,,2074075135,2,,,1,,,{},{},{}"																	条件なし			
		100164	consum	大罪武器改造装置(Type1)	2		10	10					2074075135	2			1				"{},{},{}"			"100164,consum,大罪武器改造装置(Type1),2,,10,10,,,,,2074075135,2,,,1,,,{},{},{}"																	条件なし			
		100165	consum	大罪武器改造装置(Type2)	2		10	10					2074075135	2			1				"{},{},{}"			"100165,consum,大罪武器改造装置(Type2),2,,10,10,,,,,2074075135,2,,,1,,,{},{},{}"																	条件なし			
		100166	consum	大罪武器改造装置(Type3)	2		10	10					2074075135	2			1				"{},{},{}"			"100166,consum,大罪武器改造装置(Type3),2,,10,10,,,,,2074075135,2,,,1,,,{},{},{}"																	条件なし			
		100167	consum	大罪武器改造装置(Type4)	2		10	10					2074075135	2			1				"{},{},{}"			"100167,consum,大罪武器改造装置(Type4),2,,10,10,,,,,2074075135,2,,,1,,,{},{},{}"																	条件なし			
		100168	consum	大罪武器改造装置(Type5)	2		10	10					2074075135	2			1				"{},{},{}"			"100168,consum,大罪武器改造装置(Type5),2,,10,10,,,,,2074075135,2,,,1,,,{},{},{}"																	条件なし			
		100169	consum	大罪武器改造装置(Type6)	2		10	10					2074075135	2			1				"{},{},{}"			"100169,consum,大罪武器改造装置(Type6),2,,10,10,,,,,2074075135,2,,,1,,,{},{},{}"																	条件なし			
		100221	consum	飛行船乗りのパイプ	2		10	10					2074075135	2			1				"{},{},{}"			"100221,consum,飛行船乗りのパイプ,2,,10,10,,,,,2074075135,2,,,1,,,{},{},{}"		100221	0	0	1	0	0	1	1	0	0	0	0	0	"100221,0,0,1,0,0,1,1,0,0,0,0,0"	//飛行船乗りのパイプ	NPC売却・倉庫への移動のみ			
		100222	consum	巨影の残滓	2		10	10					2074075135	2			1				"{},{},{}"			"100222,consum,巨影の残滓,2,,10,10,,,,,2074075135,2,,,1,,,{},{},{}"		100222	0	0	1	0	0	1	1	0	0	0	0	0	"100222,0,0,1,0,0,1,1,0,0,0,0,0"	//巨影の残滓	NPC売却・倉庫への移動のみ			
		100251	consum	エンハンスキューブ(イルシオン)	2		10	10					2074075135	2			1				"{},{},{}"			"100251,consum,エンハンスキューブ(イルシオン),2,,10,10,,,,,2074075135,2,,,1,,,{},{},{}"																	条件なし			
		100252	consum	エンハンスキューブ(オートマティック)	2		10	10					2074075135	2			1				"{},{},{}"			"100252,consum,エンハンスキューブ(オートマティック),2,,10,10,,,,,2074075135,2,,,1,,,{},{},{}"																	条件なし			
		100278	consum	黄金のカード帖	2		10	50					2074075135	2			1				"{},{},{}"			"100278,consum,黄金のカード帖,2,,10,50,,,,,2074075135,2,,,1,,,{},{},{}"																	条件なし			
		100279	consum	運命のカード帖	2		10	50					2074075135	2			1				"{},{},{}"			"100279,consum,運命のカード帖,2,,10,50,,,,,2074075135,2,,,1,,,{},{},{}"																	条件なし			
		100280	consum	黄金の天使像	2			0					2074075135	2			1				"{},{},{}"			"100280,consum,黄金の天使像,2,,,0,,,,,2074075135,2,,,1,,,{},{},{}"		100280	0	0	1	1	0	1	1	0	0	0	1	0	"100280,0,0,1,1,0,1,1,0,0,0,1,0"	//黄金の天使像	倉庫のみ・消耗しない			
		100281	consum	ヘルムスクロールI	2		10	10					2074075135	2			1				"{},{},{}"			"100281,consum,ヘルムスクロールI,2,,10,10,,,,,2074075135,2,,,1,,,{},{},{}"																	条件なし			
		100282	consum	ウェポンスクロールI	2		10	10					2074075135	2			1				"{},{},{}"			"100282,consum,ウェポンスクロールI,2,,10,10,,,,,2074075135,2,,,1,,,{},{},{}"																	条件なし			
		100283	consum	メイルスクロールI	2		10	10					2074075135	2			1				"{},{},{}"			"100283,consum,メイルスクロールI,2,,10,10,,,,,2074075135,2,,,1,,,{},{},{}"																	条件なし			
		100284	consum	シューズスクロールI	2		10	10					2074075135	2			1				"{},{},{}"			"100284,consum,シューズスクロールI,2,,10,10,,,,,2074075135,2,,,1,,,{},{},{}"																	条件なし			
		100285	consum	アクセサリースクロールI	2		10	10					2074075135	2			1				"{},{},{}"			"100285,consum,アクセサリースクロールI,2,,10,10,,,,,2074075135,2,,,1,,,{},{},{}"																	条件なし			
		100315	consum	召喚の魔法書	2		10	0					2074075135	2			1				"{},{},{}"			"100315,consum,召喚の魔法書,2,,10,0,,,,,2074075135,2,,,1,,,{},{},{}"		100315	0	0	1	0	1	1	1	0	0	0	0	0	"100315,0,0,1,0,1,1,1,0,0,0,0,0"	//召喚の魔法書	NPC売却のみ			
		100348	consum	闘気のエッセンス	2		10	10					2074075135	2			1				"{},{},{}"			"100348,consum,闘気のエッセンス,2,,10,10,,,,,2074075135,2,,,1,,,{},{},{}"																	条件なし			
		100349	consum	猛気のエッセンス	2		10	10					2074075135	2			1				"{},{},{}"			"100349,consum,猛気のエッセンス,2,,10,10,,,,,2074075135,2,,,1,,,{},{},{}"																	条件なし			
		100440	consum	永遠なる忠誠	2		10	0					2074075135	2			1				"{},{},{}"			"100440,consum,永遠なる忠誠,2,,10,0,,,,,2074075135,2,,,1,,,{},{},{}"		100440	0	0	1	0	0	1	1	0	0	0	1	0	"100440,0,0,1,0,0,1,1,0,0,0,1,0"	//永遠なる忠誠	NPC売却・倉庫への移動のみ・消耗しない			
		100448	consum	セイレンの手紙	2		10	0					2074075135	2			1				"{},{},{}"			"100448,consum,セイレンの手紙,2,,10,0,,,,,2074075135,2,,,1,,,{},{},{}"		100448	0	0	1	0	0	1	1	0	0	0	1	0	"100448,0,0,1,0,0,1,1,0,0,0,1,0"	//セイレンの手紙	NPC売却・倉庫への移動のみ・消耗しない			
		100449	consum	式の手紙	2		10	0					2074075135	2			1				"{},{},{}"			"100449,consum,式の手紙,2,,10,0,,,,,2074075135,2,,,1,,,{},{},{}"		100449	0	0	1	0	0	1	1	0	0	0	1	0	"100449,0,0,1,0,0,1,1,0,0,0,1,0"	//式の手紙	NPC売却・倉庫への移動のみ・消耗しない			
		100450	consum	カプレーゼの手紙	2		10	0					2074075135	2			1				"{},{},{}"			"100450,consum,カプレーゼの手紙,2,,10,0,,,,,2074075135,2,,,1,,,{},{},{}"		100450	0	0	1	0	0	1	1	0	0	0	1	0	"100450,0,0,1,0,0,1,1,0,0,0,1,0"	//カプレーゼの手紙	NPC売却・倉庫への移動のみ・消耗しない			
		100451	consum	S・J・アーネストウルフの手紙	2		10	0					2074075135	2			1				"{},{},{}"			"100451,consum,S・J・アーネストウルフの手紙,2,,10,0,,,,,2074075135,2,,,1,,,{},{},{}"		100451	0	0	1	0	0	1	1	0	0	0	1	0	"100451,0,0,1,0,0,1,1,0,0,0,1,0"	//S・J・アーネストウルフの手紙	NPC売却・倉庫への移動のみ・消耗しない			
		100482	consum	コスたまAnimalsVII	2			10					2074075135	2			1				"{},{},{}"			"100482,consum,コスたまAnimalsVII,2,,,10,,,,,2074075135,2,,,1,,,{},{},{}"		100482	0	0	1	1	0	1	1	0	0	0	0	0	"100482,0,0,1,1,0,1,1,0,0,0,0,0"	//コスたまAnimalsVII	倉庫のみ			
		100525	consum	コンブチャ	2		30	30					2074075135	2			1				"{ percentheal 3,3; },{},{}"			"100525,consum,コンブチャ,2,,30,30,,,,,2074075135,2,,,1,,,{ percentheal 3,3; },{},{}"		100525	0	0	1	0	0	1	1	0	0	0	0	0	"100525,0,0,1,0,0,1,1,0,0,0,0,0"	//コンブチャ	NPC売却・倉庫への移動のみ			
		100526	consum	コンブチャケース(50個)	2		1500	1500					2074075135	2			1				"{ getitem2 100525,50,1,0,0,0,0,0,0,604800; },{},{}"			"100526,consum,コンブチャケース(50個),2,,1500,1500,,,,,2074075135,2,,,1,,,{ getitem2 100525,50,1,0,0,0,0,0,0,604800; },{},{}"		100526	0	0	1	0	0	1	1	0	0	0	0	0	"100526,0,0,1,0,0,1,1,0,0,0,0,0"	//コンブチャケース(50個)	NPC売却・倉庫への移動のみ			
		100527	consum	コンブチャケース(150個)	2		4500	4500					2074075135	2			1				"{ getitem2 100525,150,1,0,0,0,0,0,0,604800; },{},{}"			"100527,consum,コンブチャケース(150個),2,,4500,4500,,,,,2074075135,2,,,1,,,{ getitem2 100525,150,1,0,0,0,0,0,0,604800; },{},{}"		100527	0	0	1	0	0	1	1	0	0	0	0	0	"100527,0,0,1,0,0,1,1,0,0,0,0,0"	//コンブチャケース(150個)	NPC売却・倉庫への移動のみ			
		100532	consum	兜改造装置(Type1)	2		10	0					2074075135	2			1				"{},{},{}"			"100532,consum,兜改造装置(Type1),2,,10,0,,,,,2074075135,2,,,1,,,{},{},{}"																	条件なし			
		100533	consum	兜改造装置(Type2)	2		10	0					2074075135	2			1				"{},{},{}"			"100533,consum,兜改造装置(Type2),2,,10,0,,,,,2074075135,2,,,1,,,{},{},{}"																	条件なし			
		100558	consum	ハロウィンキャンディ	2		30	30					2074075135	2			1				"{ percentheal 3,3; },{},{}"			"100558,consum,ハロウィンキャンディ,2,,30,30,,,,,2074075135,2,,,1,,,{ percentheal 3,3; },{},{}"		100558	0	0	1	0	0	1	1	0	0	0	0	0	"100558,0,0,1,0,0,1,1,0,0,0,0,0"	//ハロウィンキャンディ	NPC売却・倉庫への移動のみ			
		100559	consum	キャンディホルダー(50個)	2		1500	1500					2074075135	2			1				"{ getitem2 100558,50,1,0,0,0,0,0,0,604800; },{},{}"			"100559,consum,キャンディホルダー(50個),2,,1500,1500,,,,,2074075135,2,,,1,,,{ getitem2 100558,50,1,0,0,0,0,0,0,604800; },{},{}"		100559	0	0	1	0	0	1	1	0	0	0	0	0	"100559,0,0,1,0,0,1,1,0,0,0,0,0"	//キャンディホルダー(50個)	NPC売却・倉庫への移動のみ			
		100560	consum	キャンディホルダー(150個)	2		4500	4500					2074075135	2			1				"{ getitem2 100558,150,1,0,0,0,0,0,0,604800; },{},{}"			"100560,consum,キャンディホルダー(150個),2,,4500,4500,,,,,2074075135,2,,,1,,,{ getitem2 100558,150,1,0,0,0,0,0,0,604800; },{},{}"		100560	0	0	1	0	0	1	1	0	0	0	0	0	"100560,0,0,1,0,0,1,1,0,0,0,0,0"	//キャンディホルダー(150個)	NPC売却・倉庫への移動のみ			
		100587	consum	パワー・ゲイン	2		30	30					2074075135	2			1				"{ percentheal 3,3; },{},{}"			"100587,consum,パワー・ゲイン,2,,30,30,,,,,2074075135,2,,,1,,,{ percentheal 3,3; },{},{}"		100587	0	0	1	0	0	1	1	0	0	0	0	0	"100587,0,0,1,0,0,1,1,0,0,0,0,0"	//パワー・ゲイン	NPC売却・倉庫への移動のみ			
		100588	consum	プロテイン・ケース(50食)	2		1500	1500					2074075135	2			1				"{ getitem2 100587,50,1,0,0,0,0,0,0,604800; },{},{}"			"100588,consum,プロテイン・ケース(50食),2,,1500,1500,,,,,2074075135,2,,,1,,,{ getitem2 100587,50,1,0,0,0,0,0,0,604800; },{},{}"		100588	0	0	1	0	0	1	1	0	0	0	0	0	"100588,0,0,1,0,0,1,1,0,0,0,0,0"	//プロテイン・ケース(50食)	NPC売却・倉庫への移動のみ			
		100589	consum	プロテイン・ケース(150食)	2		4500	4500					2074075135	2			1				"{ getitem2 100587,150,1,0,0,0,0,0,0,604800; },{},{}"			"100589,consum,プロテイン・ケース(150食),2,,4500,4500,,,,,2074075135,2,,,1,,,{ getitem2 100587,150,1,0,0,0,0,0,0,604800; },{},{}"		100589	0	0	1	0	0	1	1	0	0	0	0	0	"100589,0,0,1,0,0,1,1,0,0,0,0,0"	//プロテイン・ケース(150食)	NPC売却・倉庫への移動のみ			
		100626	consum	エンハンスキューブ(グレイウルフ)	2		10	10					2074075135	2			1				"{},{},{}"			"100626,consum,エンハンスキューブ(グレイウルフ),2,,10,10,,,,,2074075135,2,,,1,,,{},{},{}"																	条件なし			
		100642	consum	チョコカップケーキ	2		30	30					2074075135	2			1				"{ percentheal 3,3; },{},{}"			"100642,consum,チョコカップケーキ,2,,30,30,,,,,2074075135,2,,,1,,,{ percentheal 3,3; },{},{}"		100642	0	0	1	0	0	1	1	0	0	0	0	0	"100642,0,0,1,0,0,1,1,0,0,0,0,0"	//チョコカップケーキ	NPC売却・倉庫への移動のみ			
		100643	consum	カップケーキBOX(50個)	2		1500	1500					2074075135	2			1				"{ getitem2 100643,50,1,0,0,0,0,0,0,604800; },{},{}"			"100643,consum,カップケーキBOX(50個),2,,1500,1500,,,,,2074075135,2,,,1,,,{ getitem2 100643,50,1,0,0,0,0,0,0,604800; },{},{}"		100643	0	0	1	0	0	1	1	0	0	0	0	0	"100643,0,0,1,0,0,1,1,0,0,0,0,0"	//カップケーキBOX(50個)	NPC売却・倉庫への移動のみ			
		100644	consum	カップケーキBOX(150個)	2		4500	4500					2074075135	2			1				"{ getitem2 100643,150,1,0,0,0,0,0,0,604800; },{},{}"			"100644,consum,カップケーキBOX(150個),2,,4500,4500,,,,,2074075135,2,,,1,,,{ getitem2 100643,150,1,0,0,0,0,0,0,604800; },{},{}"		100644	0	0	1	0	0	1	1	0	0	0	0	0	"100644,0,0,1,0,0,1,1,0,0,0,0,0"	//カップケーキBOX(150個)	NPC売却・倉庫への移動のみ			
		100645	consum	七王家チョコパック(第一弾)	2		10	200					2074075135	2			1				"{},{},{}"			"100645,consum,七王家チョコパック(第一弾),2,,10,200,,,,,2074075135,2,,,1,,,{},{},{}"																	条件なし			
		100646	consum	七王家チョコパック(第二弾)	2		10	200					2074075135	2			1				"{},{},{}"			"100646,consum,七王家チョコパック(第二弾),2,,10,200,,,,,2074075135,2,,,1,,,{},{},{}"																	条件なし			
		100647	consum	七王家チョコパック(第三弾)	2		10	200					2074075135	2			1				"{},{},{}"			"100647,consum,七王家チョコパック(第三弾),2,,10,200,,,,,2074075135,2,,,1,,,{},{},{}"																	条件なし			
		100655	consum	浄化図面の束	2		10	1					2074075135	2			1				"{},{},{}"			"100655,consum,浄化図面の束,2,,10,1,,,,,2074075135,2,,,1,,,{},{},{}"																	条件なし			
		100685	consum	白酒	2		30	30					2074075135	2			1				"{ percentheal 3,3; },{},{}"			"100685,consum,白酒,2,,30,30,,,,,2074075135,2,,,1,,,{ percentheal 3,3; },{},{}"		100685	0	0	1	0	0	1	1	0	0	0	0	0	"100685,0,0,1,0,0,1,1,0,0,0,0,0"	//白酒	NPC売却・倉庫への移動のみ			
		100692	consum	白酒の箱詰め(50壺)	2		1500	1500					2074075135	2			1				"{ getitem2 100685,50,1,0,0,0,0,0,0,604800; },{},{}"			"100692,consum,白酒の箱詰め(50壺),2,,1500,1500,,,,,2074075135,2,,,1,,,{ getitem2 100685,50,1,0,0,0,0,0,0,604800; },{},{}"		100692	0	0	1	0	0	1	1	0	0	0	0	0	"100692,0,0,1,0,0,1,1,0,0,0,0,0"	//白酒の箱詰め(50壺)	NPC売却・倉庫への移動のみ			
		100693	consum	白酒の箱詰め(150壺)	2		4500	4500					2074075135	2			1				"{ getitem2 100685,150,1,0,0,0,0,0,0,604800; },{},{}"			"100693,consum,白酒の箱詰め(150壺),2,,4500,4500,,,,,2074075135,2,,,1,,,{ getitem2 100685,150,1,0,0,0,0,0,0,604800; },{},{}"		100693	0	0	1	0	0	1	1	0	0	0	0	0	"100693,0,0,1,0,0,1,1,0,0,0,0,0"	//白酒の箱詰め(150壺)	NPC売却・倉庫への移動のみ			
		100699	consum	ツインズの箱	2		10	0					2074075135	2			1				"{},{},{}"			"100699,consum,ツインズの箱,2,,10,0,,,,,2074075135,2,,,1,,,{},{},{}"																	条件なし			
		100700	consum	スペシャルツインズの箱	2		10	0					2074075135	2			1				"{},{},{}"			"100700,consum,スペシャルツインズの箱,2,,10,0,,,,,2074075135,2,,,1,,,{},{},{}"																	条件なし			
		100729	consum	エンハンスキューブII(イルシオン)	2			0					2074075135	2			1				"{},{},{}"			"100729,consum,エンハンスキューブII(イルシオン),2,,,0,,,,,2074075135,2,,,1,,,{},{},{}"		100729	0	0	1	1	0	1	1	0	0	0	0	0	"100729,0,0,1,1,0,1,1,0,0,0,0,0"	//エンハンスキューブII(イルシオン)	倉庫のみ			
		100731	consum	キンダープンシュ	2		30	30					2074075135	2			1				"{ percentheal 3,3; },{},{}"			"100731,consum,キンダープンシュ,2,,30,30,,,,,2074075135,2,,,1,,,{ percentheal 3,3; },{},{}"		100731	0	0	1	0	0	1	1	0	0	0	0	0	"100731,0,0,1,0,0,1,1,0,0,0,0,0"	//キンダープンシュ	NPC売却・倉庫への移動のみ			
		100732	consum	キンダープンシュの樽(50杯)	2		1500	1500					2074075135	2			1				"{ getitem2 100731,50,1,0,0,0,0,0,0,604800; },{},{}"			"100732,consum,キンダープンシュの樽(50杯),2,,1500,1500,,,,,2074075135,2,,,1,,,{ getitem2 100731,50,1,0,0,0,0,0,0,604800; },{},{}"		100732	0	0	1	0	0	1	1	0	0	0	0	0	"100732,0,0,1,0,0,1,1,0,0,0,0,0"	//キンダープンシュの樽(50杯)	NPC売却・倉庫への移動のみ			
		100733	consum	キンダープンシュの樽(150杯)	2		4500	4500					2074075135	2			1				"{ getitem2 100731,150,1,0,0,0,0,0,0,604800; },{},{}"			"100733,consum,キンダープンシュの樽(150杯),2,,4500,4500,,,,,2074075135,2,,,1,,,{ getitem2 100731,150,1,0,0,0,0,0,0,604800; },{},{}"		100733	0	0	1	0	0	1	1	0	0	0	0	0	"100733,0,0,1,0,0,1,1,0,0,0,0,0"	//キンダープンシュの樽(150杯)	NPC売却・倉庫への移動のみ			
		100734	consum	桜もち	2		30	30					2074075135	2			1				"{ percentheal 3,3; },{},{}"			"100734,consum,桜もち,2,,30,30,,,,,2074075135,2,,,1,,,{ percentheal 3,3; },{},{}"		100734	0	0	1	0	0	1	1	0	0	0	0	0	"100734,0,0,1,0,0,1,1,0,0,0,0,0"	//桜もち	NPC売却・倉庫への移動のみ			
		100735	consum	桜もちの折箱(50個)	2		1500	1500					2074075135	2			1				"{},{},{}"			"100735,consum,桜もちの折箱(50個),2,,1500,1500,,,,,2074075135,2,,,1,,,{},{},{}"		100735	0	0	1	0	0	1	1	0	0	0	0	0	"100735,0,0,1,0,0,1,1,0,0,0,0,0"	//桜もちの折箱(50個)	NPC売却・倉庫への移動のみ			
		100736	consum	桜もちの折箱(150個)	2		4500	4500					2074075135	2			1				"{},{},{}"			"100736,consum,桜もちの折箱(150個),2,,4500,4500,,,,,2074075135,2,,,1,,,{},{},{}"		100736	0	0	1	0	0	1	1	0	0	0	0	0	"100736,0,0,1,0,0,1,1,0,0,0,0,0"	//桜もちの折箱(150個)	NPC売却・倉庫への移動のみ			
		100737	consum	オスカーの手紙	2		10	0					2074075135	2			1				"{},{},{}"			"100737,consum,オスカーの手紙,2,,10,0,,,,,2074075135,2,,,1,,,{},{},{}"		100737	0	0	1	0	0	1	1	0	0	0	0	0	"100737,0,0,1,0,0,1,1,0,0,0,0,0"	//オスカーの手紙	NPC売却・倉庫への移動のみ・消耗しない			
		100738	consum	王女メアの手紙	2		10	0					2074075135	2			1				"{},{},{}"			"100738,consum,王女メアの手紙,2,,10,0,,,,,2074075135,2,,,1,,,{},{},{}"		100738	0	0	1	0	0	1	1	0	0	0	0	0	"100738,0,0,1,0,0,1,1,0,0,0,0,0"	//王女メアの手紙	NPC売却・倉庫への移動のみ・消耗しない			
		100739	consum	スピーカの手紙	2		10	0					2074075135	2			1				"{},{},{}"			"100739,consum,スピーカの手紙,2,,10,0,,,,,2074075135,2,,,1,,,{},{},{}"		100739	0	0	1	0	0	1	1	0	0	0	0	0	"100739,0,0,1,0,0,1,1,0,0,0,0,0"	//スピーカの手紙	NPC売却・倉庫への移動のみ・消耗しない			
		100740	consum	クトルラナックスの手紙	2		10	0					2074075135	2			1				"{},{},{}"			"100740,consum,クトルラナックスの手紙,2,,10,0,,,,,2074075135,2,,,1,,,{},{},{}"		100740	0	0	1	0	0	1	1	0	0	0	0	0	"100740,0,0,1,0,0,1,1,0,0,0,0,0"	//クトルラナックスの手紙	NPC売却・倉庫への移動のみ・消耗しない			
		100754	consum	ポー秘蔵のやみつき絶品一口ケーキ	2		10	0					2074075135	2			1				"{},{},{}"			"100754,consum,ポー秘蔵のやみつき絶品一口ケーキ,2,,10,0,,,,,2074075135,2,,,1,,,{},{},{}"		100754	0	0	1	0	0	1	1	0	0	0	0	0	"100754,0,0,1,0,0,1,1,0,0,0,0,0"	//ポー秘蔵のやみつき絶品一口ケーキ	NPC売却・倉庫への移動のみ			
		100794	consum	違法パーツ(Type1)	2		10	0					2074075135	2			1				"{},{},{}"			"100794,consum,違法パーツ(Type1),2,,10,0,,,,,2074075135,2,,,1,,,{},{},{}"																	条件なし			
		100795	consum	違法パーツ(Type2)	2		10	0					2074075135	2			1				"{},{},{}"			"100795,consum,違法パーツ(Type2),2,,10,0,,,,,2074075135,2,,,1,,,{},{},{}"																	条件なし			
		100797	consum	マタタビの原木	2		10	0					2074075135	2			1				"{},{},{}"			"100797,consum,マタタビの原木,2,,10,0,,,,,2074075135,2,,,1,,,{},{},{}"																	条件なし			
		100811	consum	紅白饅頭(ポリンの舞)	2		30	30					2074075135	2			1				"{ percentheal 3,3; },{},{}"			"100811,consum,紅白饅頭(ポリンの舞),2,,30,30,,,,,2074075135,2,,,1,,,{ percentheal 3,3; },{},{}"		100811	0	0	1	0	0	1	1	0	0	0	0	0	"100811,0,0,1,0,0,1,1,0,0,0,0,0"	//紅白饅頭(ポリンの舞)	NPC売却・倉庫への移動のみ			
		100812	consum	めでたい風呂敷包み(50個入り)	2		1500	1500					2074075135	2			1				"{ getitem2 100811,50,1,0,0,0,0,0,0,604800; },{},{}"			"100812,consum,めでたい風呂敷包み(50個入り),2,,1500,1500,,,,,2074075135,2,,,1,,,{ getitem2 100811,50,1,0,0,0,0,0,0,604800; },{},{}"		100812	0	0	1	0	0	1	1	0	0	0	0	0	"100812,0,0,1,0,0,1,1,0,0,0,0,0"	//めでたい風呂敷包み(50個入り)	NPC売却・倉庫への移動のみ			
		100813	consum	めでたい風呂敷包み(150個入り)	2		4500	4500					2074075135	2			1				"{ getitem2 100811,150,1,0,0,0,0,0,0,604800; },{},{}"			"100813,consum,めでたい風呂敷包み(150個入り),2,,4500,4500,,,,,2074075135,2,,,1,,,{ getitem2 100811,150,1,0,0,0,0,0,0,604800; },{},{}"		100813	0	0	1	0	0	1	1	0	0	0	0	0	"100813,0,0,1,0,0,1,1,0,0,0,0,0"	//めでたい風呂敷包み(150個入り)	NPC売却・倉庫への移動のみ			
