MSI_DO_YOU_AGREE,"同意しますか？"
MSI_EXPLAIN_TIP2,"ショートカットウィンドウ(Ctrl+F12)を開いて、消費・装備アイテムをドラッグ&ドロップすると登録が可能です。使用キーは(F1,F2,F3,F4,F5,F6,F7,F8,F9)です。"
MSI_NO_SAME_SENTANCE,"同じ発言を3回以上繰り返すことはできません。"
MSI_NO_SEND_BECAUSE_INSULT,"使用禁止単語が検出されました。発言できません。"
MSI_CAN_DRAG_ITEM_OLNY_ONETIME,"同じアイテムは、重複して移動できません。"
MSI_CANT_GET_ITEM_BECAUSE_WEIGHT,"重量オーバーです。アイテムを拾う事ができません。"
MSI_CANT_GET_ITEM,"アイテムを受け取る事ができません。"
MSI_DEAL_SECCESS,"取引できました。"
MSI_INSUFFICIENT_MONEY,"お金が足りません。"
MSI_OVER_WEIGHT,"重量オーバーです。"
MSI_DEAL_FAIL,"取引に失敗しました。"
MSI_REFUSE_HEAR_ALL,"全キャラクターからの耳打ち拒否状態になりました。"
MSI_REQ_REFUSE_HEAR_ALL_FAIL,"全キャラクターからの耳打ち拒否設定に失敗しました。"
MSI_HEAR_ALL,"全キャラクターからの耳打ち許可設定になりました。"
MSI_REQ_HEAR_ALL_FAIL,"全キャラクターからの耳打ち許可設定に失敗しました。"
MSI_NO_REFUSE_HEAR_LIST,"耳打ち拒否リストがありません。"
MSI_REFUSE_HEAR_LIST,"＊耳打ち拒否リスト＊"
MSI_ROOM_IS_MADE,"チャットルームを作りました。"
MSI_TOO_MANY_ROOM,"チャットルームの数が規定数を超過しました。"
MSI_SAME_ROOM_TITLE,"同じ名前のチャットルームがあります。"
MSI_TOO_MANY_PEOPLE_IN_ROOM,"人数超過でチャットルームに入る事ができません。"
MSI_YOU_HAVE_BANNED_FROM_THE_ROOM,"強制退場させられたチャットルームです。"
MSI_REJECT_DEAL,"取引要請を拒否しました。"
MSI_TOO_FAR_TO_DEAL,"離れすぎています。相手キャラクターに近づいてください。"
MSI_CHARACTER_IS_NOT_EXIST,"該当キャラクターがいません。"
MSI_CHARACTER_IS_DEALING,"他のキャラクターと交換中です。"
MSI_CHARACTER_IS_OVER_WEIGHT,"相手キャラクターの重量オーバーで交換できません。"
MSI_DEAL_IS_CANCELED,"取引がキャンセルされました。"
MSI_DEAL_SUCCESS,"取引ができました。"
MSI_DEAL_FAILED,"取引ができませんでした。"
MSI_PARTY_MAKE_SUCCEED,"パーティーを作成しました。"
MSI_SAME_PARTY_NAME,"同じ名前のパーティーがあります。"
MSI_YOU_ARE_ALREADY_IN_PARTY,"すでにパーティーに加入しています。"
MSI_CHARACTER_IS_ALREADY_IN_PARTY,"他のパーティーに加入しています。"
MSI_CHARACTER_REJECT_JOIN,"パーティーへの加入要請を拒否しました。"
MSI_CHARACTER_ACCEPT_JOIN,"パーティー加入要請を承諾しました。"
MSI_TOO_MANY_PEOPLE_IN_PARTY,"パーティー定員を超過しました。"
MSI_YOU_LEAVE_FROM_PARTY,"パーティーから脱退しました。"
MSI_SEND_TO_ALL,"全体に送る"
MSI_SEND_TO_PARTY,"パーティーに送る"
MSI_REQ_DEAL_WITH,"さんに取引要請"
MSI_REQ_JOIN_PARTY,"さんにパーティー加入要請をする"
MSI_ROOM_PRIVATE,"非公開 :"
MSI_ROOM_PUBLIC,"公開 :"
MSI_RESTART_MSG,"最後にセーブした所から始めるのなら'続く'を、キャラクターセレクトに戻りたい時は'終わり'を選択して下さい。"
MSI_SELECT_DEAL_TYPE,"取引を選んで下さい。"
MSI_SUGGEST_DEAL,"さんから取引を要請されました。"
MSI_SUGGEST_JOIN_PARTY,"パーティーから加入要請が来ました。加入しますか？"
MSI_INVALID_COMMAND,"コマンドを間違えています。"
MSI_LEAVE_PARTY,"脱退する"
MSI_EXPEL,"除名する"
MSI_MSG,"手紙を出す"
MSI_1ON1,"1:1 会話"
MSI_CHARACTER_INFO,"パーティー掲示板"
MSI_PARTY_SETTING,"パーティー設定"
MSI_FRIEND,"友達"
MSI_PARTY,"パーティー"
MSI_EQUIPED_ITEM,"装備アイテム"
MSI_STATUS,"ステータス"
MSI_ITEM,"所持アイテム"
MSI_EXPLAIN_PARTY,"/organize [パーティー名] : パーティー作成、/leave : パーティー脱退"
MSI_EXPLAIN_TIP3,"自分がパーティーリーダーであれば、キャラクターを右クリックするとパーティー加入要請ができます。"
MSI_RESTORE,"回復"
MSI_ATTACK,"攻撃"
MSI_SUPPORT,"補助"
MSI_ALL,"全体"
MSI_WEAPON,"武器"
MSI_DEFENCE,"防御"
MSI_WATER,"水"
MSI_EARTH,"地"
MSI_FIRE,"火"
MSI_WIND,"風"
MSI_EQUIPITEM_OLNY_ONE,"同じ種類の装備アイテムは一度につき、1つだけ買う事ができます。"
MSI_ONLY_16BIT_WHEN_WINDOWMODE,"ウィンドウモードで実行する時は16ビットカラー表示にして下さい。（画面のプロパティ変更でできます。）"
MSI_PLEASE_BE_PATIENT,"しばらくお待ち下さい。"
MSI_WAITING_RESPONSE_FROM_SERVER,"しばらくお待ち下さい。"
MSI_MAKING_CHARACTER,"しばらくお待ち下さい。"
MSI_DELETING_CHARACTER,"しばらくお待ち下さい。"
MSI_MAKING_ROOM,"チャットルーム作成"
MSI_CHANGE_ROOM_SETTING,"チャットルームの設定を変更する"
MSI_BAN,"強制退場させる"
MSI_GIVE_GIVE_ROOM_POWER,"ルームマスターの権限を与える"
MSI_SEE_INFORMATION_OF_CHARACTER,"情報を見る"
MSI_CHAT_ROOM,"チャットルーム"
MSI_COUNT_UNIT_OF_PEOPLE,"名"
MSI_EXPLAIN_SIT,"/sit : 座る、立つ"
MSI_EXPLAIN_STAND,"/stand : 立つ、座る"
MSI_EXPLAIN_MAKE_CHAT,"/chat : チャットルームを作るウィンドウを開く"
MSI_EXPLAIN_EXIT_CHAT_ROOM,"/q : チャットルームから出る"
MSI_EXPLAIN_DEAL,"/deal [キャラクター名] : 対象のキャラクターへの取引要請"
MSI_EXPLAIN_ORGANIZE_PARTY,"/organize [パーティー名] : パーティー作成"
MSI_EXPLAIN_LEAVE_PARTY,"/leave : パーティー脱退"
MSI_EXPLAIN_EXPEL_PARTY_MEMBER,"/expel [キャラクター名] : 対象のキャラクターをパーティーから除名させる"
MSI_EXPLAIN_TIP4,"[Alt] + [End] : プレイヤーの HP/SP ゲージ On/Off"
MSI_EXPLAIN_TIP5,"[Alt] + [Home] : 地面カーソル表示 On/Off"
MSI_EXPLAIN_TIP6,"[Insert] : 座る、立つ"
MSI_YOU_RECEIVE_MVP_ITEM,"おめでとうございます、MVPです！！MVPアイテムは"
MSI_YOU_RECEIVE_MVP_ITEM2," !!"
MSI_YOU_RECEIVE_MVP_EXP,"おめでとうございます、MVPです！！特別経験値"
MSI_YOU_RECEIVE_MVP_EXP2," 獲得!!"
MSI_YOU_THROW_MVPITEM,"MVPになりましたが、重量オーバーでMVPアイテムの獲得ができません！"
MSI_NOT_EXIST_CHARACTER,"接続していないか、存在しないキャラクターの名前です。"
MSI_NO_RECEIVE_MODE,"耳打ち受信拒否状態にする。"
MSI_NO_RECEIVE_MODE_FOR_ALL,"全てのキャラクターに対して受信拒否状態です。"
MSI_SUCCESS_DISCONNECT_CHARACTER,"キャラクター接続終了、成功"
MSI_FAIL_DISCONNECT_CHARACTER,"キャラクター接続終了、失敗"
MSI_GET_ITEM,"%s %d 個獲得"
MSI_EXPLAIN_TIP7,"[Alt] + [=] : アルファベットの間隔が広くなった時、元に戻す"
MSI_EXPLAIN_TIP8,"[F10] : 会話ウィンドウの大きさ変更、 [Alt] + [F10] : 会話ウィンドウ On/Off"
MSI_EXPLAIN_TIP9,"耳打ちをする方法 : 会話ウィンドウの左側入力ウィンドウにキャラクター名を入力し、右側に発言内容を入力します。TABキーで入力ウィンドウの間をカーソル移動できます。"
MSI_EXPLAIN_TIP10,"/!, /?, /うれしい, /ハート, /大きいハート, /汗, /あはは, /怒り, /お金, /…, /gawi, /bawi, /bo : Alt + (0～9), Ctrl + (「;」「-」「\」)"
MSI_EXPLAIN_TIP11,"パーティーメンバーと会話する方法 : 会話の先頭に‘%’を付けるとパーティーメンバーに会話を送る事ができます。 (例: %こんにちは)　右のボタンでも選択可能"
MSI_NOT_ENOUGH_SKILLLEVE1,"スキルが不足しています。交換できません。"
MSI_NOT_ENOUGH_SKILLLEVE2,"スキルが不足しています。エモーションをだせません。"
MSI_NOT_ENOUGH_SKILLLEVE3,"スキルが不足しています。座れません。"
MSI_NOT_ENOUGH_SKILLLEVE4,"スキルが不足しています。チャットルームは作れません。"
MSI_NOT_ENOUGH_SKILLLEVE5,"スキルが不足しています。パーティーが作成できません。"
MSI_NOT_ENOUGH_SKILLLEVE6,"スキルが不足しています。叫ぶことができません。"
MSI_NOT_ENOUGH_SKILLLEVE7,"スキルが不足しています。PvPができません。"
MSI_ITEMS_FOR_BUY,"買いたい品物"
MSI_ITEM_STORE,"アイテム商店"
MSI_ITEMS_FOR_SELL,"売りたい品物"
MSI_ITEMS_THAT_IS_STORED,"保管アイテム"
MSI_ITEM_IS_EQUIPED,"アイテムが装備できました。"
MSI_ITEM_IS_REMOVED,"アイテムの装備が解除されました。"
MSI_ADD_TO_WHISPER_CHAR_LIST,"耳打ちリストに名前を入力"
MSI_EXPLAIN_TIP12,"スクリーンショットを取る方法 : [Print Screen]キーや[Scroll Lock]を押すと保存されます。保存先は撮影時に表示されるフォルダの中です。"
MSI_TIPOFTHEDAY,"今日の豆知識"
MSI_DIDYOUKNOW,"^3850a0ご存知ですか… ^000000 //^709fed"
MSI_SHOWTIPSATSTARTUP,"始める時に開く"
MSI_EXPLAIN_OPENTIP,"/tip : 今日の豆知識を開く"
MSI_NUMPEOPLE,"現在接続している人 %d人"
MSI_USERGETINTHEROOM,"(%s)様が入場しました。"
MSI_USERGETOUTOFTHEROOM,"(%s)様が退場しました。"
MSI_USERGETOUTOFTHEROOMBYFORCE,"(%s)様を強制退場させました。"
MSI_EA," %d 個"
MSI_EA2,"%s : %d 個"
MSI_EA3,"%s %s : %d 個"
MSI_ITEMSYOUCANSELL,"売る事ができるアイテム"
MSI_SHOPITEMS,"販売品目"
MSI_NOWHERE,"わからない所"
MSI_CLIENTTYPEMISMATCH,"サーバーとの言語があいません。"
MSI_CLOSEEQUIPWND,"アイテムを捨てる時は装備ウィンドウを閉じて下さい。"
MSI_ENGLISHONLY,"英語のみ使用可能です。"
MSI_NOTSUPPORTEDYET,"現在は実装していません。"
MSI_NOWHISPERLIST,"耳打ちリストがありません。"
MSI_WHISPERIGNORESUCCESS," さんからの耳打ちを拒否にしました。"
MSI_WHISPERIGNOREFAILED1," さんからの耳打ち拒否設定に失敗しました。"
MSI_WHISPERIGNOREFAILED2," さんからの耳打ち拒否設定に失敗しました。(定数超過)"
MSI_WHISPERNOIGNORESUCCESS," さんからの耳打ちを許可にしました。"
MSI_WHISPERNOIGNOREFAILED1," さんからの耳打ち許可設定に失敗しました。"
MSI_WHISPERNOIGNOREFAILED2," さんからの耳打ち許可設定に失敗しました。(定数超過)"
MSI_NO_SPACE_IN_NAME,"名前の始めと最後にはスペースを入れる事ができません。"
MSI_ROOM_PRIVATE2,"非公開"
MSI_ROOM_PUBLIC2,"公開"
MSI_USESKILL_FAIL_SP_INSUFFICIENT,"SPが足りません。"
MSI_USESKILL_FAIL_HP_INSUFFICIENT,"HPが足りません。"
MSI_NOT_ENOUGH_SKILLLEVE8,"スキル使用失敗"
MSI_FAIL_STEAL,"盗み失敗"
MSI_EXCHANGE,"Trade"
MSI_FAIL_POISON,"毒攻撃、失敗"
MSI_ID_MISMATCH,"このIDではこのサーバーに接続できません。"
MSI_SPEEDUP,"速さが増加しました。"
MSI_SPEEDDOWN,"速さが減少しました。"
MSI_EXPLAIN_TIP13,"/memo : ワープする場所を記憶(ワープスキルがある場合)"
MSI_RANDOM_POS,"ランダムな位置"
MSI_SELECTWHERETOWARP,"ワープする位置を選んで下さい。"
MSI_NOTENOUGHSKILLLEVEL,"スキルレベルが足りません。"
MSI_NO_STORED_PLACE_TO_WARP,"セーブされたワープ位置がありません。"
MSI_NOWARPSKILL,"ワープ関連スキルがありません。"
MSI_WARPPOINTSTORED,"ワープ位置としてセーブしました。"
MSI_CANCEL,"取り消し"
MSI_SKILLINTERVAL,"スキル使用の後は、しばらくお待ちください。"
MSI_CANT_GET_ITEM_BECAUSE_COUNT,"一度に受け取ることができるアイテムの種類数を超えているため、受け取る事ができません。"
MSI_INSUFFICIENT_OVER_COUNT,"アイテム最大種類数を超過しました。"
MSI_MERCHANTITEM,"カートアイテム"
MSI_CARTOFF,"カートを外す"
MSI_MERCHANTSHOPMAKER,"露店開設"
MSI_ENTER_SHOP_TITLE,"露店の名前を入力して下さい。"
MSI_ITEM_MY_STORE,"自分の露店"
MSI_ITEM_MERCHANT_STORE,"商人アイテム商店"
MSI_ITEMS_FOR_BUY_FROM_MERCHANT,"販売品目"
MSI_FAIL_BUY_ITEM_FROM_MERCHANT,"%s 買う 失敗 %s"
MSI_INSUFFICIENT_STOCK,"在庫不足"
MSI_ITEM_IS_SOLD,"%s %d 個、売る。"
MSI_MERCHANTMIRRORITEM,"露店販売可能アイテム"
MSI_SKILL_FAIL_MONEY,"お金が足りないのでスキルを使う事ができません。"
MSI_SELECTTARGET,"使用する対象を選んで下さい"
MSI_EXPLAIN_TIP14,"/pk on : pk On, /pk off : pk Off"
MSI_STREETSHOP,"露店"
MSI_OPENCARTWINDOW,"カートアイテム [Alt+W]"
MSI_BASICINFOWND,"基本情報"
MSI_USESKILL_FAIL_NOT_SUITABLE_WEAPON,"この装備ではこのスキルを使用できません。"
MSI_FAIL_BUY_ITEM_FROM_MERCHANT_NO_STOCK,"%s 買い物失敗,在庫不足、現在在庫 %d 個。"
MSI_SPEEDHACK,"サーバーとの同期に失敗しました。"
MSI_ERR_ATTACK_ARROW,"弓矢を装備して下さい。"
MSI_ERR_ATTACK_WEIGHT,"重量オーバーで攻撃とスキルを使用することができません。"
MSI_ERR_SKILL_WEIGHT,"重量オーバーでスキルを使用することができません。"
MSI_MSG_ARROW_EQUIPMENT_SUCCESS,"弓矢を装備しました。"
MSI_NEED_REDJAMSTONE,"レッドジェムストーンが必要です。"
MSI_NEED_BLUEJAMSTONE,"ブルージェムストーンが必要です。"
MSI_DESC_STR,"物理攻撃力やアイテムの所持限界値などが上昇する"
MSI_DESC_AGI,"攻撃速度や回避率などが上昇する"
MSI_DESC_VIT,"最大HPや防御力などが上昇する"
MSI_DESC_INT,"最大SPや魔法攻撃力などが上昇する"
MSI_DESC_DEX,"命中率やスキルの詠唱速度などが上昇する"
MSI_DESC_LUK,"完全回避やクリティカル攻撃の発生率などが上昇する"
MSI_DESC_ATK,"物理攻撃力"
MSI_DESC_DEF,"防御力"
MSI_DESC_HIT,"命中率"
MSI_DESC_CRI,"クリティカル率"
MSI_DESC_GUILD,"所属ギルド"
MSI_DESC_POINT,"各パラメーターのレベルアップに使うポイント"
MSI_DESC_MATK,"魔法攻撃力"
MSI_DESC_MDEF,"魔法防御力"
MSI_DESC_FLEE,"回避率"
MSI_DESC_ASPD,"攻撃速度"
MSI_PC_OVERFLOW,"地域の収容人員超過で接続できません。"
MSI_OPTIONWND,"オプション"
MSI_ID_EMAIL_CONFIRM_NEEDED,"【期限切れ】「プレイ利用権」の購入が必要です。※トライアルサービスを利用していた場合、「プレイ利用権」を購入することで、同じデータでプレイすることができます。"
MSI_INCORRECT_LOGIN_PASSWORD,"クライアントを終了します。"
MSI_SELECT_HAIR_STYLE,"ヘアースタイルを選んで下さい。"
MSI_ATK,"攻撃力"
MSI_DEF,"防御力"
MSI_ATTACK_SNAP_ON,"攻撃スナップ On"
MSI_ATTACK_SNAP_OFF,"攻撃スナップ Off"
MSI_SKILL_SNAP_ON,"スキルスナップ On"
MSI_SKILL_SNAP_OFF,"スキルスナップ Off"
MSI_EXPLAIN_SNAP,"/snap : モンスター攻撃の時、スナップ On/Off、/skillsnap: スキルでモンスター攻撃の時、スナップ On/Off、/itemsnap: アイテムを拾う時、スナップ On/Off"
MSI_ITEM_SNAP_ON,"アイテムスナップ On"
MSI_ITEM_SNAP_OFF,"アイテムスナップ Off"
MSI_SNAP,"スナップ"
MSI_CANT_GET_ITEM_OVERCOUNT_ONEITEM,"1種類のアイテムを3万個以上持つ事ができません。"
MSI_CANT_DELETE_CHARACTER_OVER_30_LEVEL,"レベル30以上のキャラクターは削除する事ができません。 削除したい場合は運営チームに問い合わせて下さい。"
MSI_FAIL_BUY_ITEM_ITEM_EXCHANGING,"アイテムの交換中にはアイテムの売買は出来ません。"
MSI_STALL_NAME,"商店名"
MSI_SKILLLIST,"スキルリスト"
MSI_SKILLPOINT,"スキルポイント : %d"
MSI_USESKILL_FAIL,"スキル使用失敗"
MSI_PASSIVE,"パッシブ"
MSI_EXPDIV1,"各自で取得"
MSI_EXPDIV2,"公平に分配"
MSI_ITEMCOLLECT1,"各自で取得"
MSI_ITEMCOLLECT2,"全体で共有"
MSI_PARTYSETTING,"パーティー設定"
MSI_HOWEXPDIV,"経験値の分配方式"
MSI_HOWITEMCOLLECT,"アイテムの収集方式"
MSI_ONLY_PARTYMASTER,"パーティーのリーダーだけが設定できます。"
MSI_NOQUESTION_ITEMCOUNT,"アイテムの数を無視する"
MSI_CHARARATER_DELETE_COUNT,"「cancel」ボタンで削除を止められます。後^ff0000%d^000000秒でキャラクターを削除します。"
MSI_MAXEXCHANGE_IS_10_KIND,"交換できるアイテムは最大10種類です。"
MSI_LIMIT_AGE,"このサーバーは18歳未満はアクセスできません。"
MSI_ENTER_EMAIL,"メールアドレス（30文字まで）を入力してください。"
MSI_ENTER_EMAIL_TOOLTIP,"削除キーを入力する。"
MSI_CANNOT_DELETE_CHARACTER_EMAIL,"メールアドレスが違うため、キャラクターが削除できません。登録している        メールアドレスをご確認ください。"
MSI_ENTER_PEOPLE_REG_NUMBER,"住民登録番号を入力してください。"
MSI_CANNOT_DELETE_CHARACTER_PEOPLE_REG_NUMBER,"住民登録番号が違います。キャラクター削除ができません。"
MSI_CANT_SELL_OVER_15,"一度に15種類以上のアイテムを売る事はできません。"
MSI_UNDER_AGE,"このサーバは18歳未満は接続できません。"
MSI_NO_RECOVER_OVERWEIGHT,"重量が50％以上の時はHPとSPが自動回復しません。"
MSI_NO_ATTACK_OVERWEIGHT,"重量が90％以上の時は攻撃とスキル使用ができません。"
MSI_NO_RECOVER_OVERWEIGHT_RELEASED,"HPやSPが自動回復するようになりました。"
MSI_NO_ATTACK_OVERWEIGHT_RELEASED,"攻撃とスキル使用ができるようになりました。"
MSI_INVALID_VERSION,"最新のパッチではありません。"
MSI_ITEM_IS_SOLD_OUT,"アイテムが全部売り切れました。"
MSI_WRITE_CHAT_TO_FILE,"チャットのログをセーブする。"
MSI_EXPLAIN_SAVE_CHAT,"/savechatでチャットのログをセーブします。"
MSI_MAKEACCOUNT,"アカウントを作成します"
MSI_REQ_EX_LIST,"耳打ち受信拒否"
MSI_REQ_IN,"耳打ち受信拒否状態を解除します。"
MSI_MISS_EFFECT_ON,"ミス（失敗）表示 On"
MSI_MISS_EFFECT_OFF,"ミス（失敗）表示 Off"
MSI_FIXED_CAMERA_ON,"カメラ（視点）の固定 On"
MSI_FIXED_CAMERA_OFF,"カメラ（視点）の固定 Off"
MSI_EXPLAIN_CAMERA_MISS,"/camera : プレイヤーにカメラ固定 On/Off, /miss : ミス（失敗） On/Off"
MSI_SEE_INFORMATION_OF_SKILL,"スキルの情報を見る"
MSI_CHANGE_SKILL_NAME,"スキルの名前を変える"
MSI_SPRITE_RESOLUTION,"スプライト解像度"
MSI_TEXTURE_RESOLUTION,"テクスチャ解像度"
MSI_DETAILLEVELWND,"ディティール調整"
MSI_GET_ZENY,"%s Zeny 獲得"
MSI_GUILDNAME,"ギルド名"
MSI_GUILDLEVEL,"ギルドのレベル"
MSI_GUILD_MASTER_NAME,"ギルドマスターの名前"
MSI_GUILD_NUM_MEMBER,"ギルドメンバー数"
MSI_GUILD_AVG_MEMBER_LEVEL,"ギルドメンバーの平均レベル"
MSI_GUILD_MANAGE_LAND,"Territory"
MSI_GUILD_FAIR,"性向"
MSI_GUILD_EXP,"経験値"
MSI_GUILD_EMBLEM,"ギルドのエンブレム"
MSI_GUILD_POINT,"ギルド上納ポイント"
MSI_ALLY_GUILD,"同盟ギルド"
MSI_HOSTILITY_GUILD,"敵対ギルド"
MSI_GUILDINFOMANAGE,"ギルド情報"
MSI_GUILDMEMBERMANAGE,"ギルドメンバー情報"
MSI_GUILDPOSITIONMANAGE,"職位設定"
MSI_GUILDSKILL,"ギルドスキル"
MSI_GUILDBANISHEDMEMBER,"追放者リスト"
MSI_GUILDNOTICE,"告知事項"
MSI_GUILDTOTALINFO,"全体ギルドリスト"
MSI_WHISPERLISTWND,"耳打ちリスト"
MSI_OPENWHISPERLISTWND,"耳打ちウィンドウを開く"
MSI_EXPLAIN_WHISPER_LIST_WND,"耳打ちリストウィンドウは … : [Alt] + [H]で開ける"
MSI_AUTOOPENWHISPERLISTWND,"オート耳打ちリスト"
MSI_DELETE,"消す"
MSI_DONTOPEN,"これからは開かない"
MSI_LAST_LOGIN_TIME,"最近接続時間"
MSI_LAST_LOGIN_IP,"最近接続IP"
MSI_FRIEND_SETTING,"友達設定"
MSI_DO_YOU_REALLY_WANT_DELETE,"本当に消しますか？"
MSI_DO_YOU_REALLY_WANT_LEAVE,"本当に脱退しますか？"
MSI_ADD_TO_FRIEND_CHAR_LIST,"友達に登録する"
MSI_AUTOOPENWHISPERLISTWND_FRIEND,"友達の場合、自動で1:1ウィンドウを開く"
MSI_OPEN_1ON1_WINDOW,"1:1ウィンドウを開く"
MSI_AUTOOPEN_1ON1_WINDOW,"友達ではない場合、自動で1:1ウィンドウを開く"
MSI_WHISPER_OPEN_SOUND,"1:1ウィンドウを開くとき、音で知らせる"
MSI_DO_YOU_REALLY_WANT_EXPEL,"本当に除名しますか？"
MSI_USER_LEFT_GUILD,"%s 様がギルドを脱退しました。"
MSI_REASON_LEAVE_GUILD,"脱退理由 : %s"
MSI_DISORGANIZE_GUILD_FAILURE,"ギルド解散失敗"
MSI_DISORGANIZATION_REASON,"ギルド解散理由 : %s"
MSI_DELETED_ACCOUNT,"対象のアカウントは削除されたIDです。"
MSI_SELLPRICE,"販売価格 :"
MSI_BAN_GUILD,"%s さんがギルドから追放されました。"
MSI_REASON_BAN_GUILD,"追放理由 : %s"
MSI_CAN_NOT_EQUIP_ITEM,"アイテムを装備することができません。"
MSI_PARTYSETTING_CHANGE_IMPOSSIBLE,"パーティー設定を変更することができません。"
MSI_GUILD_MAKE_SUCCESS,"ギルドが結成されました。"
MSI_GUILD_MAKE_ALREADY_MEMBER,"既にギルドに所属しています。"
MSI_GUILD_MAKE_GUILD_EXIST,"同じ名前のギルドが存在します。"
MSI_SUGGEST_JOIN_GUILD,"ギルドから加入要請が来ました。加入しますか？"
MSI_CHARACTER_IS_ALREADY_IN_GUILD,"他のギルドに加入しています。"
MSI_CHARACTER_REJECT_JOIN_GUILD,"ギルドへの加入要請を拒否しました。"
MSI_CHARACTER_ACCEPT_JOIN_GUILD,"ギルドへの加入要請を承諾しました。"
MSI_TOO_MANY_PEOPLE_IN_GUILD,"ギルドの定員を超過しました。"
MSI_REQ_JOIN_GUILD,"(%s)さんに ギルド加入要請"
MSI_NOT_ENOUGH_FOR_MANNER_POINT,"スキルが足りないため、マナーポイントを付与できません。"
MSI_GIVING_MANNER_POINT_SUCCESS,"マナーポイントを付与しました。"
MSI_YOU_USE_TODAY_ALREADY,"今日は既に使用しました。"
MSI_ONE_MONTH_NOT_PASSED,"このキャラクターに付与してから、まだ1ヶ月が過ぎていません。"
MSI_RECEIVE_PLUS_MANNER_POINT,"%sさんからプラスマナーポイントを受けました。"
MSI_RECEIVE_MINUS_MANNER_POINT,"%sさんからマイナスマナーポイントを受けました。"
MSI_GIVE_PLUS_MANNER_POINT,"チャット禁止時間を下げる（解ける）"
MSI_GIVE_MINUS_MANNER_POINT,"チャット禁止時間をあげる（掛ける）"
MSI_REQ_DEAL_WITH2,"(%s)さんに 取引要請"
MSI_REQ_JOIN_PARTY2,"(%s)さんに パーティー加入要請"
