//mob_db.txtへオーバーライド
//ID,Name,JName,LV,HP,SP,EXP,JEXP,Range1,ATK1,ATK2,DEF,MDEF,STR,AGI,VIT,INT,DEX,LUK,Range2,Range3,Scale,Race,Element,Mode,Speed,ADelay,aMotion,dMotion,Drop1id,Drop1per,Drop2id,Drop2per,Drop3id,Drop3per,Drop4id,Drop4per,Drop5id,Drop5per,Drop6id,Drop6per,Drop7id,Drop7per,Drop8id,Drop8per,Drop9id,Drop9per,DropCardid,DropCardper,MEXP,ExpPer,MVP1id,MVP1per,MVP2id,MVP2per,MVP3id,MVP3per
20644,JT_EP17_2_MARC,熱湯マルク,215,14897907,0,42597424,31948068,2,8132,6870,480,89,213,142,138,162,259,56,10,12,1,5,81,1973,150,1272,72,480,956,5044,963,3000,951,800,517,800,720,300,0,0,0,0,0,0,0,0,300121,1,0,0,0,0,0,0,0,0
20645,JT_EP17_2_SWORD_FISH,熱湯ソードフィッシュ,215,14897907,0,42597424,31948068,2,8132,6870,480,89,213,142,138,162,259,56,10,12,1,5,81,1973,200,1968,768,384,1023,5044,956,3000,951,300,720,800,2257,1,0,0,0,0,0,0,0,0,300119,1,0,0,0,0,0,0,0,0
20646,JT_EP17_2_PIRANHA,熱湯ピラニア,220,14295301,0,40874400,40655801,2,11239,5621,502,88,228,153,146,142,253,153,10,12,2,5,81,1973,200,768,480,864,1023,5044,951,3000,1053,300,1054,800,0,0,0,0,0,0,0,0,0,0,300121,1,0,0,0,0,0,0,0,0

//第1魔力発電所(ba_pw01.gat)
20689,JT_EP17_2_DOLOR3,魔力中毒ドロール,165,598700,0,718440,107766,2,2048,773,376,83,113,103,77,80,135,67,10,12,1,7,28,5765,125,747,1632,576,906,5044,7565,3000,1019,300,0,0,0,0,0,0,0,0,0,0,0,0,300114,1,0,0,0,0,0,0,0,0
20690,JT_EP17_2_PLASMA_Y,解放された魔力,165,582092,0,698510,104777,2,1746,1152,180,87,97,120,12,120,138,77,10,12,1,0,48,5765,125,747,1632,576,911,5000,7938,3000,715,300,0,0,0,0,0,0,0,0,0,0,0,0,300113,1,0,0,0,0,0,0,0,0

//第2魔力発電所(クエスト)(ba_pw03.gat)

//第2魔力発電所(ba_pw03_j.gat)
20691,JT_EP17_2_PLAGA3,魔力中毒プラガ,210,13140530,0,40053397,30040048,2,6631,2878,1015,127,217,143,283,157,292,110,10,12,2,6,64,5797,150,747,1632,576,7123,5044,7326,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300114,1,0,0,0,0,0,0,0,0
20692,JT_EP17_2_SANARE3,魔力中毒サナレ,207,12335675,0,37859796,28394847,2,6232,3823,976,134,129,117,316,161,259,97,10,12,1,7,64,5765,150,747,1632,576,1000225,5044,25159,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300115,1,0,0,0,0,0,0,0,0
20693,JT_EP17_2_PLASMA_R,強力な魔力,200,5653837,0,34704723,26028543,2,5832,4021,198,133,118,132,13,128,252,85,10,12,1,0,28,5765,120,747,1632,576,911,5044,715,3000,0,300,0,800,0,1,0,5,0,1,0,0,0,0,300116,1,0,0,0,0,0,0,0,0
20694,JT_EP17_2_PLASMA_R2,鋭い魔力,200,5537480,0,33990497,25492874,2,5583,4322,198,133,112,148,13,128,268,85,10,12,1,0,28,5797,120,747,1632,576,911,5044,715,3000,0,300,0,800,0,1,0,5,0,1,0,0,0,0,300117,1,0,0,0,0,0,0,0,0

//ニブルヘイムダンジョン
20935,JT_GAN_CEANN,ガンキャン,215,13614856,0,33182485,24886864,2,16951,13922,1480,99,278,166,97,121,398,88,10,12,1,1,49,5797,165,847,1152,480,7069,4850,7095,3200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300240,0,0,0,0,0,0,0,0,0
20936,JT_DISGUISER,ディスガイザー,223,15249644,0,59881859,44911394,2,16874,15194,942,168,314,203,67,135,398,198,10,12,1,6,29,5797,150,516,768,384,7216,4850,7221,3686,6247,1,0,0,0,0,0,0,0,0,0,0,0,0,300244,1,0,0,0,0,0,0,0,0
20937,JT_BRUTAL_MURDERER,ブルータルマーダー,214,13829805,0,33442391,25081793,2,16135,13798,1270,80,277,174,115,134,381,82,10,12,2,7,87,4261,175,914,1344,384,7207,4171,7208,2000,512,1000,0,0,0,0,0,0,0,0,0,0,0,0,300241,1,0,0,0,0,0,0,0,0
20938,JT_GHOST_CUBE,ゴーストキューブ,213,13428755,0,13428755,32400538,2,16114,13032,1102,114,274,185,71,161,376,94,10,12,0,1,29,4261,160,912,1248,576,7205,5723,7220,3200,6245,100,0,0,0,0,0,0,0,0,0,0,0,0,300242,1,0,0,0,0,0,0,0,0
20939,JT_LUDE_GAL,ルードガル,213,13428755,0,32194273,24145705,2,16245,13001,1178,105,274,171,78,142,388,77,10,12,0,1,49,4261,160,890,960,480,7225,5723,7220,3200,1059,300,6246,1000,0,0,0,0,0,0,0,0,0,0,300243,1,0,0,0,0,0,0,0,0
20940,JT_BLUEMOON_LOLI_RURI,ブルームーンロリルリ,218,15208847,0,60564352,45423264,2,16325,15255,857,191,301,205,87,204,412,205,10,12,2,6,22,5797,125,747,1632,576,7214,5044,7219,3000,7019,300,7206,800,0,0,0,0,0,0,0,0,0,0,300245,1,0,0,0,0,0,0,0,0
20941,JT_GROTE,グロート,225,15695128,0,15695128,61783001,1,16354,15528,1056,117,311,207,107,121,379,207,10,12,2,6,22,5797,180,917,1584,576,7218,5335,7222,4074,7212,1800,604,300,512,100,0,0,0,0,0,0,0,0,300246,1,0,0,0,0,0,0,0,0
20942,JT_PIERROTZOIST,ピエロゾイスト,213,15441911,0,60504819,45378614,1,16356,15854,1141,134,511,233,96,297,351,169,10,12,1,6,27,4261,155,741,1536,480,7215,5335,7213,4365,7220,2000,740,300,0,0,0,0,0,0,0,0,0,0,300247,1,0,0,0,0,0,0,0,0
20943,JT_DEATH_WITCH,死の大魔女,255,17415062,0,121367016,91025262,2,16065,16397,1387,210,424,236,214,423,541,174,10,12,1,7,27,5797,150,747,1632,576,607,5044,608,3000,610,300,7220,800,0,0,0,0,0,0,0,0,0,0,300248,1,0,0,616,5500,607,5000,617,2000
21055,JT_G_PIERROTZOIST,ピエロゾイスト（取り巻き）,213,15441911,0,0,0,1,16356,15854,1141,134,511,233,96,297,351,169,10,12,1,6,27,5797,155,741,1536,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

21616,VR_BOOK_FAIRY,VR_BOOK_FAIRY,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,12,1,0,20,5765,125,747,1632,576,501,5500,502,3000,503,800,504,300,0,0,0,0,0,0,0,0,0,0,44444,1,0,0,0,0,0,0,0,0
21617,VR_UNKOWN_MAN,VR_UNKOWN_MAN,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,12,1,0,20,5765,125,747,1632,576,501,5500,502,3000,503,800,504,300,0,0,0,0,0,0,0,0,0,0,44444,1,0,0,0,0,0,0,0,0
21618,VR_LADY,VR_LADY,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,12,1,0,20,5765,125,747,1632,576,501,5500,502,3000,503,800,504,300,0,0,0,0,0,0,0,0,0,0,44444,1,0,0,0,0,0,0,0,0
21619,VR_KNIGHT_SILVER,VR_KNIGHT_SILVER,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,12,1,0,20,5765,125,747,1632,576,501,5500,502,3000,503,800,504,300,0,0,0,0,0,0,0,0,0,0,44444,1,0,0,0,0,0,0,0,0
21620,VR_ELYUMINA,VR_ELYUMINA,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,12,1,0,20,5765,125,747,1632,576,501,5500,502,3000,503,800,504,300,0,0,0,0,0,0,0,0,0,0,44444,1,0,0,0,0,0,0,0,0
21621,VR_MD_HHA_RKNT,VR_MD_HHA_RKNT,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,12,1,0,20,5765,125,747,1632,576,501,5500,502,3000,503,800,504,300,0,0,0,0,0,0,0,0,0,0,44444,1,0,0,0,0,0,0,0,0
21622,VR_MD_HHA_RYGD,VR_MD_HHA_RYGD,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,12,1,0,20,5765,125,747,1632,576,501,5500,502,3000,503,800,504,300,0,0,0,0,0,0,0,0,0,0,44444,1,0,0,0,0,0,0,0,0
21623,VR_MD_HHA_ACBS,VR_MD_HHA_ACBS,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,12,1,0,20,5765,125,747,1632,576,501,5500,502,3000,503,800,504,300,0,0,0,0,0,0,0,0,0,0,44444,1,0,0,0,0,0,0,0,0
21624,VR_MD_HHA_RNGR,VR_MD_HHA_RNGR,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,12,1,0,20,5765,125,747,1632,576,501,5500,502,3000,503,800,504,300,0,0,0,0,0,0,0,0,0,0,44444,1,0,0,0,0,0,0,0,0
21625,VR_MD_HHA_GX,VR_MD_HHA_GX,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,12,1,0,20,5765,125,747,1632,576,501,5500,502,3000,503,800,504,300,0,0,0,0,0,0,0,0,0,0,44444,1,0,0,0,0,0,0,0,0
21626,VR_MD_HHA_SC,VR_MD_HHA_SC,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,12,1,0,20,5765,125,747,1632,576,501,5500,502,3000,503,800,504,300,0,0,0,0,0,0,0,0,0,0,44444,1,0,0,0,0,0,0,0,0
21627,VR_MD_HHA_WR,VR_MD_HHA_WR,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,12,1,0,20,5765,125,747,1632,576,501,5500,502,3000,503,800,504,300,0,0,0,0,0,0,0,0,0,0,44444,1,0,0,0,0,0,0,0,0
21628,VR_MD_LEVI,GEFFEN_MAGE_1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,12,1,0,20,5765,125,747,1632,576,501,5500,502,3000,503,800,504,300,0,0,0,0,0,0,0,0,0,0,44444,1,0,0,0,0,0,0,0,0
21629,VR_MD_LEVI_2,GEFFEN_MAGE_1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,12,1,0,20,5765,125,747,1632,576,501,5500,502,3000,503,800,504,300,0,0,0,0,0,0,0,0,0,0,44444,1,0,0,0,0,0,0,0,0
21633,VR_AGNES,VR_AGNES,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,12,1,0,20,5765,125,747,1632,576,501,5500,502,3000,503,800,504,300,0,0,0,0,0,0,0,0,0,0,44444,1,0,0,0,0,0,0,0,0
21634,20TH_GATE_GREEN,invisible,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,12,1,0,20,5765,125,747,1632,576,501,5500,502,3000,503,800,504,300,0,0,0,0,0,0,0,0,0,0,44444,1,0,0,0,0,0,0,0,0
21635,20TH_GATE_PURPLE,invisible,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,12,1,0,20,5765,125,747,1632,576,501,5500,502,3000,503,800,504,300,0,0,0,0,0,0,0,0,0,0,44444,1,0,0,0,0,0,0,0,0
21636,20TH_GATE_RED,invisible,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,12,1,0,20,5765,125,747,1632,576,501,5500,502,3000,503,800,504,300,0,0,0,0,0,0,0,0,0,0,44444,1,0,0,0,0,0,0,0,0
21637,20TH_CRYSTAL_S,invisible,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,12,1,0,20,5765,125,747,1632,576,501,5500,502,3000,503,800,504,300,0,0,0,0,0,0,0,0,0,0,44444,1,0,0,0,0,0,0,0,0
21638,20TH_CRYSTAL_M,invisible,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,12,1,0,20,5765,125,747,1632,576,501,5500,502,3000,503,800,504,300,0,0,0,0,0,0,0,0,0,0,44444,1,0,0,0,0,0,0,0,0
21639,20TH_CRYSTAL_L,invisible,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,12,1,0,20,5765,125,747,1632,576,501,5500,502,3000,503,800,504,300,0,0,0,0,0,0,0,0,0,0,44444,1,0,0,0,0,0,0,0,0
21640,SEASON_MOB_111,PORING,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,12,1,0,20,5765,125,747,1632,576,501,5500,502,3000,503,800,504,300,0,0,0,0,0,0,0,0,0,0,44444,1,0,0,0,0,0,0,0,0
21641,SEASON_MOB_112,HORNET,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,12,1,0,20,5765,125,747,1632,576,501,5500,502,3000,503,800,504,300,0,0,0,0,0,0,0,0,0,0,44444,1,0,0,0,0,0,0,0,0
21642,SEASON_MOB_113,SPORE,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,12,1,0,20,5765,125,747,1632,576,501,5500,502,3000,503,800,504,300,0,0,0,0,0,0,0,0,0,0,44444,1,0,0,0,0,0,0,0,0
21643,SEASON_MOB_114,Roda_frog,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,12,1,0,20,5765,125,747,1632,576,501,5500,502,3000,503,800,504,300,0,0,0,0,0,0,0,0,0,0,44444,1,0,0,0,0,0,0,0,0
21644,SEASON_MOB_115,Skel_soldier,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,12,1,0,20,5765,125,747,1632,576,501,5500,502,3000,503,800,504,300,0,0,0,0,0,0,0,0,0,0,44444,1,0,0,0,0,0,0,0,0
21645,SEASON_MOB_116,Smokie,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,12,1,0,20,5765,125,747,1632,576,501,5500,502,3000,503,800,504,300,0,0,0,0,0,0,0,0,0,0,44444,1,0,0,0,0,0,0,0,0
21646,SEASON_MOB_117,TREASURE_MIMIC,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,12,1,0,20,5765,125,747,1632,576,501,5500,502,3000,503,800,504,300,0,0,0,0,0,0,0,0,0,0,44444,1,0,0,0,0,0,0,0,0
21647,SEASON_MOB_118,Nightmare,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,12,1,0,20,5765,125,747,1632,576,501,5500,502,3000,503,800,504,300,0,0,0,0,0,0,0,0,0,0,44444,1,0,0,0,0,0,0,0,0
21648,SEASON_MOB_119,FERUS,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,12,1,0,20,5765,125,747,1632,576,501,5500,502,3000,503,800,504,300,0,0,0,0,0,0,0,0,0,0,44444,1,0,0,0,0,0,0,0,0
21649,SEASON_MOB_120,Baphomet,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,12,1,0,20,5765,125,747,1632,576,501,5500,502,3000,503,800,504,300,0,0,0,0,0,0,0,0,0,0,44444,1,0,0,0,0,0,0,0,0
21651,KNIGHT_OF_ABYSS2,KNIGHT_OF_ABYSS2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,12,1,0,20,5765,125,747,1632,576,501,5500,502,3000,503,800,504,300,0,0,0,0,0,0,0,0,0,0,44444,1,0,0,0,0,0,0,0,0
21779,SEASON_MOB_121,YELLOW_PLANT,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,12,1,0,20,5765,125,747,1632,576,501,5500,502,3000,503,800,504,300,0,0,0,0,0,0,0,0,0,0,44444,1,0,0,0,0,0,0,0,0
21780,SEASON_MOB_122,BLUE_FLOWER,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,12,1,0,20,5765,125,747,1632,576,501,5500,502,3000,503,800,504,300,0,0,0,0,0,0,0,0,0,0,44444,1,0,0,0,0,0,0,0,0
21781,SEASON_MOB_123,TAO_GUNKA,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,12,1,0,20,5765,125,747,1632,576,501,5500,502,3000,503,800,504,300,0,0,0,0,0,0,0,0,0,0,44444,1,0,0,0,0,0,0,0,0
21782,SEASON_MOB_124,GEOGRAPHER,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,12,1,0,20,5765,125,747,1632,576,501,5500,502,3000,503,800,504,300,0,0,0,0,0,0,0,0,0,0,44444,1,0,0,0,0,0,0,0,0
21783,SEASON_MOB_125,PORING,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,12,1,0,20,5765,125,747,1632,576,501,5500,502,3000,503,800,504,300,0,0,0,0,0,0,0,0,0,0,44444,1,0,0,0,0,0,0,0,0
21784,SEASON_MOB_126,YELLOW_PLANT,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,12,1,0,20,5765,125,747,1632,576,501,5500,502,3000,503,800,504,300,0,0,0,0,0,0,0,0,0,0,44444,1,0,0,0,0,0,0,0,0
21785,SEASON_MOB_127,WOLF,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,12,1,0,20,5765,125,747,1632,576,501,5500,502,3000,503,800,504,300,0,0,0,0,0,0,0,0,0,0,44444,1,0,0,0,0,0,0,0,0
21786,SEASON_MOB_128,LIVE_PEACH_TREE,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,12,1,0,20,5765,125,747,1632,576,501,5500,502,3000,503,800,504,300,0,0,0,0,0,0,0,0,0,0,44444,1,0,0,0,0,0,0,0,0
21787,SEASON_MOB_129,TAROU,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,12,1,0,20,5765,125,747,1632,576,501,5500,502,3000,503,800,504,300,0,0,0,0,0,0,0,0,0,0,44444,1,0,0,0,0,0,0,0,0
21788,SEASON_MOB_130,KING_DRAMOH,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,12,1,0,20,5765,125,747,1632,576,501,5500,502,3000,503,800,504,300,0,0,0,0,0,0,0,0,0,0,44444,1,0,0,0,0,0,0,0,0
21789,SEASON_MOB_131,EP16_2_MM_S_GUARDS,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,12,1,0,20,5765,125,747,1632,576,501,5500,502,3000,503,800,504,300,0,0,0,0,0,0,0,0,0,0,44444,1,0,0,0,0,0,0,0,0
21790,SEASON_MOB_132,bellare,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,12,1,0,20,5765,125,747,1632,576,501,5500,502,3000,503,800,504,300,0,0,0,0,0,0,0,0,0,0,44444,1,0,0,0,0,0,0,0,0
21791,SEASON_MOB_133,COELACANTH_H,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,12,1,0,20,5765,125,747,1632,576,501,5500,502,3000,503,800,504,300,0,0,0,0,0,0,0,0,0,0,44444,1,0,0,0,0,0,0,0,0
21792,SEASON_MOB_134,PORING,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,12,1,0,20,5765,125,747,1632,576,501,5500,502,3000,503,800,504,300,0,0,0,0,0,0,0,0,0,0,44444,1,0,0,0,0,0,0,0,0
21793,SEASON_MOB_135,PORING,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,12,1,0,20,5765,125,747,1632,576,501,5500,502,3000,503,800,504,300,0,0,0,0,0,0,0,0,0,0,44444,1,0,0,0,0,0,0,0,0
21794,SEASON_MOB_136,GEOGRAPHER,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,12,1,0,20,5765,125,747,1632,576,501,5500,502,3000,503,800,504,300,0,0,0,0,0,0,0,0,0,0,44444,1,0,0,0,0,0,0,0,0
21795,SEASON_MOB_137,ALARM,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,12,1,0,20,5765,125,747,1632,576,501,5500,502,3000,503,800,504,300,0,0,0,0,0,0,0,0,0,0,44444,1,0,0,0,0,0,0,0,0
21796,SEASON_MOB_138,STAPO,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,12,1,0,20,5765,125,747,1632,576,501,5500,502,3000,503,800,504,300,0,0,0,0,0,0,0,0,0,0,44444,1,0,0,0,0,0,0,0,0
21797,SEASON_MOB_139,WHIKEBAIN,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,12,1,0,20,5765,125,747,1632,576,501,5500,502,3000,503,800,504,300,0,0,0,0,0,0,0,0,0,0,44444,1,0,0,0,0,0,0,0,0
21798,SEASON_MOB_140,HORONG,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,12,1,0,20,5765,125,747,1632,576,501,5500,502,3000,503,800,504,300,0,0,0,0,0,0,0,0,0,0,44444,1,0,0,0,0,0,0,0,0
21799,SEASON_MOB_141,MOONLIGHT,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,12,1,0,20,5765,125,747,1632,576,501,5500,502,3000,503,800,504,300,0,0,0,0,0,0,0,0,0,0,44444,1,0,0,0,0,0,0,0,0
21800,SEASON_MOB_142,BAPHOMET,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,12,1,0,20,5765,125,747,1632,576,501,5500,502,3000,503,800,504,300,0,0,0,0,0,0,0,0,0,0,44444,1,0,0,0,0,0,0,0,0
21801,SEASON_MOB_143,ORK_HERO,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,12,1,0,20,5765,125,747,1632,576,501,5500,502,3000,503,800,504,300,0,0,0,0,0,0,0,0,0,0,44444,1,0,0,0,0,0,0,0,0
21802,SEASON_MOB_144,OSIRIS,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,12,1,0,20,5765,125,747,1632,576,501,5500,502,3000,503,800,504,300,0,0,0,0,0,0,0,0,0,0,44444,1,0,0,0,0,0,0,0,0
21803,SEASON_MOB_145,IFRIT,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,12,1,0,20,5765,125,747,1632,576,501,5500,502,3000,503,800,504,300,0,0,0,0,0,0,0,0,0,0,44444,1,0,0,0,0,0,0,0,0
21804,SEASON_MOB_146,LORD_OF_DEATH,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,12,1,0,20,5765,125,747,1632,576,501,5500,502,3000,503,800,504,300,0,0,0,0,0,0,0,0,0,0,44444,1,0,0,0,0,0,0,0,0
21805,SEASON_MOB_147,MAYA,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,12,1,0,20,5765,125,747,1632,576,501,5500,502,3000,503,800,504,300,0,0,0,0,0,0,0,0,0,0,44444,1,0,0,0,0,0,0,0,0
21806,SEASON_MOB_148,MISTRESS,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,12,1,0,20,5765,125,747,1632,576,501,5500,502,3000,503,800,504,300,0,0,0,0,0,0,0,0,0,0,44444,1,0,0,0,0,0,0,0,0
21807,SEASON_MOB_149,TURTLE_GENERAL,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,12,1,0,20,5765,125,747,1632,576,501,5500,502,3000,503,800,504,300,0,0,0,0,0,0,0,0,0,0,44444,1,0,0,0,0,0,0,0,0
21808,SEASON_MOB_150,RANDGRIS,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,12,1,0,20,5765,125,747,1632,576,501,5500,502,3000,503,800,504,300,0,0,0,0,0,0,0,0,0,0,44444,1,0,0,0,0,0,0,0,0
21809,20TH_GATE_GREEN_M,invisible,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,12,1,0,20,5765,125,747,1632,576,501,5500,502,3000,503,800,504,300,0,0,0,0,0,0,0,0,0,0,44444,1,0,0,0,0,0,0,0,0
21810,20TH_GATE_GREEN_S,invisible,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,12,1,0,20,5765,125,747,1632,576,501,5500,502,3000,503,800,504,300,0,0,0,0,0,0,0,0,0,0,44444,1,0,0,0,0,0,0,0,0
